split,metric,k,value
train,cosine_mean,,0.1503202370282757
train,cosine_std,,0.05015449594112935
train,cosine_min,,-0.016789185556115967
train,cosine_max,,0.26318066169282217
train,l2_distance_mean,,2.9600872330810257
train,l2_distance_std,,0.11459486903469598
train,l2_distance_min,,2.7328574871226308
train,l2_distance_max,,3.304707965077444
train,absolute_delta_mean,,0.12039751059992121
train,absolute_delta_std,,0.09141470804078161
train,absolute_delta_min,,2.212822437286377e-06
train,absolute_delta_max,,0.6310471342876554
train,original_norm_mean,,0.43547167974391526
train,original_norm_std,,0.05032881173774303
train,original_norm_min,,0.3358296564388482
train,original_norm_max,,0.608395872683312
train,private_norm_mean,,2.9946411212393347
train,private_norm_std,,0.11342232027862902
train,private_norm_min,,2.748634518619164
train,private_norm_max,,3.339253577171374
train,relative_l2_distance_mean,,6.886880463198766
train,relative_l2_distance_std,,0.8284826088705798
train,relative_l2_distance_min,,5.053065571080875
train,relative_l2_distance_max,,8.710156756367548
train,private_to_original_norm_ratio_mean,,6.965028437588186
train,private_to_original_norm_ratio_std,,0.8178143624397702
train,private_to_original_norm_ratio_min,,5.222711399946781
train,private_to_original_norm_ratio_max,,8.821197209577981
train,neighbor_overlap,5,0.04736842105263158
train,neighbor_overlap,10,0.0861842105263158
train,neighbor_overlap,20,0.1457236842105263
test,cosine_mean,,0.15620234341768557
test,cosine_std,,0.05864763681221148
test,cosine_min,,0.005803376668205943
test,cosine_max,,0.35336083419184966
test,l2_distance_mean,,2.9602258960746655
test,l2_distance_std,,0.10222518735444416
test,l2_distance_min,,2.716497440129023
test,l2_distance_max,,3.1848789076954365
test,absolute_delta_mean,,0.12042223882189805
test,absolute_delta_std,,0.09135560888089243
test,absolute_delta_min,,2.5653280317783356e-06
test,absolute_delta_max,,0.6331291959504597
test,original_norm_mean,,0.44208744484978685
test,original_norm_std,,0.07041193634569161
test,original_norm_min,,0.33330873483128737
test,original_norm_max,,0.8765038329515334
test,private_norm_mean,,2.9980066564267283
test,private_norm_std,,0.10612744132595513
test,private_norm_min,,2.755262589566106
test,private_norm_max,,3.248148824559419
test,relative_l2_distance_mean,,6.831030119623647
test,relative_l2_distance_std,,0.9114309466876275
test,relative_l2_distance_min,,3.2040639675056575
test,relative_l2_distance_max,,9.4289554837997
test,private_to_original_norm_ratio_mean,,6.914246666044493
test,private_to_original_norm_ratio_std,,0.9011578576700657
test,private_to_original_norm_ratio_min,,3.417816705469629
test,private_to_original_norm_ratio_max,,9.566555910215191
test,neighbor_overlap,5,0.04929577464788732
test,neighbor_overlap,10,0.07676056338028169
test,neighbor_overlap,20,0.15774647887323942
