task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,random_forest,0.25,55,38,F,M,27
gender,random_forest,0.25,55,38,M,F,19
gender,random_forest,0.25,55,38,M,M,52
gender,hist_gradient_boosting,0.25,55,38,F,F,71
gender,hist_gradient_boosting,0.25,55,38,F,M,0
gender,hist_gradient_boosting,0.25,55,38,M,F,71
gender,hist_gradient_boosting,0.25,55,38,M,M,0
gender,mlp,0.25,55,38,F,F,48
gender,mlp,0.25,55,38,F,M,23
gender,mlp,0.25,55,38,M,F,42
gender,mlp,0.25,55,38,M,M,29
gender,logistic_regression,0.25,89,38,F,F,57
gender,logistic_regression,0.25,89,38,F,M,14
gender,logistic_regression,0.25,89,38,M,F,23
gender,logistic_regression,0.25,89,38,M,M,48
gender,random_forest,0.25,89,38,F,F,58
gender,random_forest,0.25,89,38,F,M,13
gender,random_forest,0.25,89,38,M,F,28
gender,random_forest,0.25,89,38,M,M,43
gender,hist_gradient_boosting,0.25,89,38,F,F,71
gender,hist_gradient_boosting,0.25,89,38,F,M,0
gender,hist_gradient_boosting,0.25,89,38,M,F,71
gender,hist_gradient_boosting,0.25,89,38,M,M,0
gender,mlp,0.25,89,38,F,F,53
gender,mlp,0.25,89,38,F,M,18
gender,mlp,0.25,89,38,M,F,19
gender,mlp,0.25,89,38,M,M,52
gender,logistic_regression,0.5,13,76,F,F,59
gender,logistic_regression,0.5,13,76,F,M,12
gender,logistic_regression,0.5,13,76,M,F,16
gender,logistic_regression,0.5,13,76,M,M,55
gender,random_forest,0.5,13,76,F,F,55
gender,random_forest,0.5,13,76,F,M,16
gender,random_forest,0.5,13,76,M,F,14
gender,random_forest,0.5,13,76,M,M,57
gender,hist_gradient_boosting,0.5,13,76,F,F,55
gender,hist_gradient_boosting,0.5,13,76,F,M,16
gender,hist_gradient_boosting,0.5,13,76,M,F,33
gender,hist_gradient_boosting,0.5,13,76,M,M,38
gender,mlp,0.5,13,76,F,F,51
gender,mlp,0.5,13,76,F,M,20
gender,mlp,0.5,13,76,M,F,20
gender,mlp,0.5,13,76,M,M,51
gender,logistic_regression,0.5,21,76,F,F,56
gender,logistic_regression,0.5,21,76,F,M,15
gender,logistic_regression,0.5,21,76,M,F,13
gender,logistic_regression,0.5,21,76,M,M,58
gender,random_forest,0.5,21,76,F,F,44
gender,random_forest,0.5,21,76,F,M,27
gender,random_forest,0.5,21,76,M,F,7
gender,random_forest,0.5,21,76,M,M,64
gender,hist_gradient_boosting,0.5,21,76,F,F,49
gender,hist_gradient_boosting,0.5,21,76,F,M,22
gender,hist_gradient_boosting,0.5,21,76,M,F,19
gender,hist_gradient_boosting,0.5,21,76,M,M,52
gender,mlp,0.5,21,76,F,F,55
gender,mlp,0.5,21,76,F,M,16
gender,mlp,0.5,21,76,M,F,12
gender,mlp,0.5,21,76,M,M,59
gender,logistic_regression,0.5,34,76,F,F,53
gender,logistic_regression,0.5,34,76,F,M,18
gender,logistic_regression,0.5,34,76,M,F,17
gender,logistic_regression,0.5,34,76,M,M,54
gender,random_forest,0.5,34,76,F,F,49
gender,random_forest,0.5,34,76,F,M,22
gender,random_forest,0.5,34,76,M,F,4
gender,random_forest,0.5,34,76,M,M,67
gender,hist_gradient_boosting,0.5,34,76,F,F,49
gender,hist_gradient_boosting,0.5,34,76,F,M,22
gender,hist_gradient_boosting,0.5,34,76,M,F,19
gender,hist_gradient_boosting,0.5,34,76,M,M,52
gender,mlp,0.5,34,76,F,F,55
gender,mlp,0.5,34,76,F,M,16
gender,mlp,0.5,34,76,M,F,15
gender,mlp,0.5,34,76,M,M,56
gender,logistic_regression,0.5,55,76,F,F,62
gender,logistic_regression,0.5,55,76,F,M,9
gender,logistic_regression,0.5,55,76,M,F,22
gender,logistic_regression,0.5,55,76,M,M,49
gender,random_forest,0.5,55,76,F,F,56
