epsilon,delta,sensitivity,dp_seed,split,metric,k,value
0.5,1e-05,1.0,13,train,private_to_original_norm_ratio_min,,226.81431962365673
0.5,1e-05,1.0,13,train,private_to_original_norm_ratio_max,,442.99079903656263
0.5,1e-05,1.0,13,train,neighbor_overlap,5,0.048684210526315795
0.5,1e-05,1.0,13,train,neighbor_overlap,10,0.07828947368421053
0.5,1e-05,1.0,13,train,neighbor_overlap,20,0.13815789473684212
0.5,1e-05,1.0,13,test,cosine_mean,,0.004444470105327985
0.5,1e-05,1.0,13,test,cosine_std,,0.05409394241300078
0.5,1e-05,1.0,13,test,cosine_min,,-0.14239784422028234
0.5,1e-05,1.0,13,test,cosine_max,,0.12509729797798472
0.5,1e-05,1.0,13,test,l2_distance_mean,,137.79699600733042
0.5,1e-05,1.0,13,test,l2_distance_std,,4.776907752501123
0.5,1e-05,1.0,13,test,l2_distance_min,,125.67062408446277
0.5,1e-05,1.0,13,test,l2_distance_max,,151.86375998929358
0.5,1e-05,1.0,13,test,absolute_delta_mean,,5.623314128768858
0.5,1e-05,1.0,13,test,absolute_delta_std,,4.229150090889685
0.5,1e-05,1.0,13,test,absolute_delta_min,,0.00020651950035244226
0.5,1e-05,1.0,13,test,absolute_delta_max,,32.09677026048303
0.5,1e-05,1.0,13,test,original_norm_mean,,0.44208744484978685
0.5,1e-05,1.0,13,test,original_norm_std,,0.07041193634569161
0.5,1e-05,1.0,13,test,original_norm_min,,0.33330873483128737
0.5,1e-05,1.0,13,test,original_norm_max,,0.8765038329515334
0.5,1e-05,1.0,13,test,private_norm_mean,,137.79817036281915
0.5,1e-05,1.0,13,test,private_norm_std,,4.77892280043163
0.5,1e-05,1.0,13,test,private_norm_min,,125.66347260544698
0.5,1e-05,1.0,13,test,private_norm_max,,151.89519247062952
0.5,1e-05,1.0,13,test,relative_l2_distance_mean,,317.99837168342015
0.5,1e-05,1.0,13,test,relative_l2_distance_std,,42.733774661058504
0.5,1e-05,1.0,13,test,relative_l2_distance_min,,153.65715559687587
0.5,1e-05,1.0,13,test,relative_l2_distance_max,,436.04266958472044
0.5,1e-05,1.0,13,test,private_to_original_norm_ratio_mean,,318.00121492958635
0.5,1e-05,1.0,13,test,private_to_original_norm_ratio_std,,42.73739954387736
0.5,1e-05,1.0,13,test,private_to_original_norm_ratio_min,,153.68070065687542
0.5,1e-05,1.0,13,test,private_to_original_norm_ratio_max,,436.0258299722033
0.5,1e-05,1.0,13,test,neighbor_overlap,5,0.04507042253521127
0.5,1e-05,1.0,13,test,neighbor_overlap,10,0.06971830985915492
0.5,1e-05,1.0,13,test,neighbor_overlap,20,0.13943661971830984
1.0,1e-05,1.0,13,train,cosine_mean,,0.010519739943796293
1.0,1e-05,1.0,13,train,cosine_std,,0.04994304892635148
1.0,1e-05,1.0,13,train,cosine_min,,-0.09896634170887882
1.0,1e-05,1.0,13,train,cosine_max,,0.12395227168755482
1.0,1e-05,1.0,13,train,l2_distance_mean,,73.31868952244787
1.0,1e-05,1.0,13,train,l2_distance_std,,2.5592198640524244
1.0,1e-05,1.0,13,train,l2_distance_min,,65.67221223528445
1.0,1e-05,1.0,13,train,l2_distance_max,,80.01288493846126
1.0,1e-05,1.0,13,train,absolute_delta_mean,,2.986984370549831
1.0,1e-05,1.0,13,train,absolute_delta_std,,2.2569930665349944
1.0,1e-05,1.0,13,train,absolute_delta_min,,0.0001878528855741024
1.0,1e-05,1.0,13,train,absolute_delta_max,,16.265086857602
1.0,1e-05,1.0,13,train,original_norm_mean,,0.43547167974391526
1.0,1e-05,1.0,13,train,original_norm_std,,0.05032881173774303
1.0,1e-05,1.0,13,train,original_norm_min,,0.3358296564388482
1.0,1e-05,1.0,13,train,original_norm_max,,0.608395872683312
1.0,1e-05,1.0,13,train,private_norm_mean,,73.32247525618638
1.0,1e-05,1.0,13,train,private_norm_std,,2.5584474522249936
1.0,1e-05,1.0,13,train,private_norm_min,,65.65113832636412
1.0,1e-05,1.0,13,train,private_norm_max,,80.03711979541522
1.0,1e-05,1.0,13,train,relative_l2_distance_mean,,170.54374247403175
1.0,1e-05,1.0,13,train,relative_l2_distance_std,,20.077755136232245
1.0,1e-05,1.0,13,train,relative_l2_distance_min,,120.2965723819065
1.0,1e-05,1.0,13,train,relative_l2_distance_max,,235.0247987935381
1.0,1e-05,1.0,13,train,private_to_original_norm_ratio_mean,,170.55129713983712
1.0,1e-05,1.0,13,train,private_to_original_norm_ratio_std,,20.068591039438125
1.0,1e-05,1.0,13,train,private_to_original_norm_ratio_min,,120.36714302493621
1.0,1e-05,1.0,13,train,private_to_original_norm_ratio_max,,235.0209294167507
1.0,1e-05,1.0,13,train,neighbor_overlap,5,0.048684210526315795
1.0,1e-05,1.0,13,train,neighbor_overlap,10,0.07828947368421053
1.0,1e-05,1.0,13,train,neighbor_overlap,20,0.13749999999999998
1.0,1e-05,1.0,13,test,cosine_mean,,0.007278188364066903
1.0,1e-05,1.0,13,test,cosine_std,,0.05407846586122165
1.0,1e-05,1.0,13,test,cosine_min,,-0.13959034326764644
1.0,1e-05,1.0,13,test,cosine_max,,0.12794563761557887
1.0,1e-05,1.0,13,test,l2_distance_mean,,73.10615808019206
1.0,1e-05,1.0,13,test,l2_distance_std,,2.5343177388836104
1.0,1e-05,1.0,13,test,l2_distance_min,,66.67269080688935
1.0,1e-05,1.0,13,test,l2_distance_max,,80.56907152107976
1.0,1e-05,1.0,13,test,absolute_delta_mean,,2.9833661369073123
1.0,1e-05,1.0,13,test,absolute_delta_std,,2.2437130272134103
1.0,1e-05,1.0,13,test,absolute_delta_min,,0.00010956579353660345
1.0,1e-05,1.0,13,test,absolute_delta_max,,17.02846810594201
1.0,1e-05,1.0,13,test,original_norm_mean,,0.44208744484978685
1.0,1e-05,1.0,13,test,original_norm_std,,0.07041193634569161
1.0,1e-05,1.0,13,test,original_norm_min,,0.33330873483128737
1.0,1e-05,1.0,13,test,original_norm_max,,0.8765038329515334
1.0,1e-05,1.0,13,test,private_norm_mean,,73.10797469916172
1.0,1e-05,1.0,13,test,private_norm_std,,2.536366108105079
1.0,1e-05,1.0,13,test,private_norm_min,,66.66624939070827
1.0,1e-05,1.0,13,test,private_norm_max,,80.60097326426146
1.0,1e-05,1.0,13,test,relative_l2_distance_mean,,168.7093325972592
1.0,1e-05,1.0,13,test,relative_l2_distance_std,,22.671772110155754
1.0,1e-05,1.0,13,test,relative_l2_distance_min,,81.52053138658722
1.0,1e-05,1.0,13,test,relative_l2_distance_max,,231.33598853057754
1.0,1e-05,1.0,13,test,private_to_original_norm_ratio_mean,,168.7135927324103
1.0,1e-05,1.0,13,test,private_to_original_norm_ratio_std,,22.67520647568478
1.0,1e-05,1.0,13,test,private_to_original_norm_ratio_min,,81.54695339667147
1.0,1e-05,1.0,13,test,private_to_original_norm_ratio_max,,231.32016338512955
1.0,1e-05,1.0,13,test,neighbor_overlap,5,0.04507042253521127
1.0,1e-05,1.0,13,test,neighbor_overlap,10,0.0704225352112676
1.0,1e-05,1.0,13,test,neighbor_overlap,20,0.13802816901408452
10.0,1e-05,1.0,13,train,cosine_mean,,0.04878497414344689
10.0,1e-05,1.0,13,train,cosine_std,,0.050913558214284525
10.0,1e-05,1.0,13,train,cosine_min,,-0.06505452870517005
10.0,1e-05,1.0,13,train,cosine_max,,0.16566848217438013
10.0,1e-05,1.0,13,train,l2_distance_mean,,9.824389571666154
10.0,1e-05,1.0,13,train,l2_distance_std,,0.3429244761595955
10.0,1e-05,1.0,13,train,l2_distance_min,,8.799794422338788
10.0,1e-05,1.0,13,train,l2_distance_max,,10.721383005965807
10.0,1e-05,1.0,13,train,absolute_delta_mean,,0.40024307978700147
10.0,1e-05,1.0,13,train,absolute_delta_std,,0.30242737959205684
10.0,1e-05,1.0,13,train,absolute_delta_min,,2.5171320885419846e-05
10.0,1e-05,1.0,13,train,absolute_delta_max,,2.17945191077888
10.0,1e-05,1.0,13,train,original_norm_mean,,0.43547167974391526
10.0,1e-05,1.0,13,train,original_norm_std,,0.05032881173774303
10.0,1e-05,1.0,13,train,original_norm_min,,0.3358296564388482
10.0,1e-05,1.0,13,train,original_norm_max,,0.608395872683312
10.0,1e-05,1.0,13,train,private_norm_mean,,9.836621794469025
10.0,1e-05,1.0,13,train,private_norm_std,,0.34260096773858306
10.0,1e-05,1.0,13,train,private_norm_min,,8.787260161060477
10.0,1e-05,1.0,13,train,private_norm_max,,10.757995364799653
10.0,1e-05,1.0,13,train,relative_l2_distance_mean,,22.852129190333944
10.0,1e-05,1.0,13,train,relative_l2_distance_std,,2.6903329734068695
10.0,1e-05,1.0,13,train,relative_l2_distance_min,,16.119224082360503
10.0,1e-05,1.0,13,train,relative_l2_distance_max,,31.492314024163257
10.0,1e-05,1.0,13,train,private_to_original_norm_ratio_mean,,22.878831039323174
10.0,1e-05,1.0,13,train,private_to_original_norm_ratio_std,,2.679325467779495
10.0,1e-05,1.0,13,train,private_to_original_norm_ratio_min,,16.21638506460416
10.0,1e-05,1.0,13,train,private_to_original_norm_ratio_max,,31.50219258449506
10.0,1e-05,1.0,13,train,neighbor_overlap,5,0.048684210526315795
10.0,1e-05,1.0,13,train,neighbor_overlap,10,0.07763157894736843
10.0,1e-05,1.0,13,train,neighbor_overlap,20,0.13782894736842105
10.0,1e-05,1.0,13,test,cosine_mean,,0.04623926458682769
10.0,1e-05,1.0,13,test,cosine_std,,0.05413093431490661
10.0,1e-05,1.0,13,test,cosine_min,,-0.10062563370262671
