epsilon,gender_balanced_accuracy,gender_privacy_gain,gender_advantage_over_chance,age_balanced_accuracy,age_privacy_gain,age_advantage_over_chance,test_cosine_mean,test_l2_distance_mean,test_relative_l2_distance_mean,test_neighbor_overlap@10
0.1,0.5044366197183099,0.21957746478873244,0.004436619718309842,0.2491739532019705,0.2902170566502463,-0.000826046798029538,0.0019743556490608564,602.5742723194144,1390.5792069277234,0.06971830985915492
0.5,0.504718309859155,0.21929577464788735,0.004718309859154926,0.25037653940886695,0.2890144704433497,0.0003765394088670021,0.004444470105327985,137.79699600733042,317.99837168342015,0.06971830985915492
1.0,0.5029577464788731,0.221056338028169,0.00295774647887323,0.24939963054187192,0.2899913793103448,-0.0006003694581280764,0.007278188364066903,73.10615808019206,168.7093325972592,0.0704225352112676
2.0,0.5032394366197184,0.2207746478873239,0.003239436619718297,0.24989501231527086,0.2894959975369459,-0.00010498768472907288,0.012535711769262615,39.07112309452422,90.1656341111959,0.07112676056338027
5.0,0.5040140845070422,0.22000000000000003,0.004014084507042245,0.2539331896551724,0.2854578201970443,0.003933189655172422,0.026482268937391414,17.477218002853764,40.33271426529106,0.0704225352112676
10.0,0.5038732394366197,0.22014084507042259,0.003873239436619691,0.25480695812807885,0.2845840517241379,0.004806958128078823,0.04623926458682769,9.795911265560973,22.606326131483463,0.06901408450704223
20.0,0.5057746478873238,0.21823943661971837,0.005774647887323922,0.2557176724137932,0.2836733374384236,0.005717672413793107,0.0786263099499096,5.683681385253222,13.116406584295722,0.07112676056338027
50.0,0.5101408450704226,0.2138732394366197,0.010140845070422516,0.2650674261083744,0.2743235837438423,0.015067426108374393,0.14825296778814614,2.966153592528821,6.845083999879132,0.08098591549295775
100.0,0.5209859154929577,0.20302816901408458,0.0209859154929577,0.28465332512315267,0.254737684729064,0.03465332512315271,0.23098652183911042,1.865177181002445,4.3043268261268155,0.10422535211267604
200.0,0.5369718309859156,0.18704225352112674,0.03697183098591549,0.3136902709359606,0.22570073891625614,0.06369027093596061,0.3422850675492034,1.2107782834511824,2.7941503354339954,0.14788732394366197
500.0,0.5691549295774647,0.15485915492957744,0.0691549295774648,0.36071305418719213,0.17867795566502462,0.11071305418719213,0.5260130583428524,0.708871896224547,1.63588550749005,0.26478873239436623
1000.0,0.5688732394366197,0.15514084507042253,0.06887323943661972,0.360507697044335,0.17888331280788178,0.11050769704433498,0.5259469038225765,0.7089967347327942,1.636173601046569,0.26478873239436623
