task,classifier,train_fraction,seed,n_train,class_label,precision,recall,f1,support
gender,logistic_regression,0.1,13,16,F,0.5428571428571428,0.5352112676056338,0.5390070921985816,71.0
gender,logistic_regression,0.1,13,16,M,0.5416666666666666,0.5492957746478874,0.5454545454545454,71.0
gender,random_forest,0.1,13,16,F,0.43661971830985913,0.43661971830985913,0.43661971830985913,71.0
gender,random_forest,0.1,13,16,M,0.43661971830985913,0.43661971830985913,0.43661971830985913,71.0
gender,hist_gradient_boosting,0.1,13,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,13,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,13,16,F,0.504424778761062,0.8028169014084507,0.6195652173913043,71.0
gender,mlp,0.1,13,16,M,0.5172413793103449,0.2112676056338028,0.3,71.0
gender,logistic_regression,0.1,21,16,F,0.4857142857142857,0.4788732394366197,0.48226950354609927,71.0
gender,logistic_regression,0.1,21,16,M,0.4861111111111111,0.49295774647887325,0.48951048951048953,71.0
gender,random_forest,0.1,21,16,F,0.5964912280701754,0.4788732394366197,0.53125,71.0
gender,random_forest,0.1,21,16,M,0.5647058823529412,0.676056338028169,0.6153846153846154,71.0
gender,hist_gradient_boosting,0.1,21,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,21,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,21,16,F,0.49586776859504134,0.8450704225352113,0.625,71.0
gender,mlp,0.1,21,16,M,0.47619047619047616,0.14084507042253522,0.21739130434782608,71.0
gender,logistic_regression,0.1,34,16,F,0.5340909090909091,0.6619718309859155,0.5911949685534591,71.0
gender,logistic_regression,0.1,34,16,M,0.5555555555555556,0.4225352112676056,0.48,71.0
gender,random_forest,0.1,34,16,F,0.5066666666666667,0.5352112676056338,0.5205479452054794,71.0
gender,random_forest,0.1,34,16,M,0.5074626865671642,0.4788732394366197,0.4927536231884058,71.0
gender,hist_gradient_boosting,0.1,34,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,34,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,34,16,F,0.5217391304347826,0.3380281690140845,0.41025641025641024,71.0
gender,mlp,0.1,34,16,M,0.5104166666666666,0.6901408450704225,0.5868263473053892,71.0
gender,logistic_regression,0.1,55,16,F,0.44776119402985076,0.4225352112676056,0.43478260869565216,71.0
gender,logistic_regression,0.1,55,16,M,0.4533333333333333,0.4788732394366197,0.4657534246575342,71.0
gender,random_forest,0.1,55,16,F,0.4819277108433735,0.5633802816901409,0.5194805194805194,71.0
gender,random_forest,0.1,55,16,M,0.4745762711864407,0.39436619718309857,0.4307692307692308,71.0
gender,hist_gradient_boosting,0.1,55,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,55,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,55,16,F,0.4765625,0.8591549295774648,0.6130653266331658,71.0
gender,mlp,0.1,55,16,M,0.2857142857142857,0.056338028169014086,0.09411764705882353,71.0
gender,logistic_regression,0.1,89,16,F,0.5373134328358209,0.5070422535211268,0.5217391304347826,71.0
gender,logistic_regression,0.1,89,16,M,0.5333333333333333,0.5633802816901409,0.547945205479452,71.0
gender,random_forest,0.1,89,16,F,0.5116279069767442,0.30985915492957744,0.38596491228070173,71.0
gender,random_forest,0.1,89,16,M,0.5050505050505051,0.704225352112676,0.5882352941176471,71.0
gender,hist_gradient_boosting,0.1,89,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,89,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,89,16,F,0.4752475247524752,0.676056338028169,0.5581395348837209,71.0
gender,mlp,0.1,89,16,M,0.43902439024390244,0.2535211267605634,0.32142857142857145,71.0
gender,logistic_regression,0.25,13,38,F,0.5285714285714286,0.5211267605633803,0.524822695035461,71.0
gender,logistic_regression,0.25,13,38,M,0.5277777777777778,0.5352112676056338,0.5314685314685315,71.0
gender,random_forest,0.25,13,38,F,0.5142857142857142,0.5070422535211268,0.5106382978723404,71.0
gender,random_forest,0.25,13,38,M,0.5138888888888888,0.5211267605633803,0.5174825174825175,71.0
gender,hist_gradient_boosting,0.25,13,38,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.25,13,38,M,0.0,0.0,0.0,71.0
gender,mlp,0.25,13,38,F,0.5137614678899083,0.7887323943661971,0.6222222222222222,71.0
gender,mlp,0.25,13,38,M,0.5454545454545454,0.2535211267605634,0.34615384615384615,71.0
gender,logistic_regression,0.25,21,38,F,0.49056603773584906,0.36619718309859156,0.41935483870967744,71.0
gender,logistic_regression,0.25,21,38,M,0.4943820224719101,0.6197183098591549,0.55,71.0
gender,random_forest,0.25,21,38,F,0.5441176470588235,0.5211267605633803,0.5323741007194245,71.0
