epsilon,delta,sensitivity,dp_seed,split,metric,k,value
1.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_mean,,128.04599199071092
1.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_std,,22.451484116441375
1.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_min,,70.96193267715324
1.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_max,,247.96208618978633
1.0,1e-05,1.0,2026,train,neighbor_overlap,5,0.0003429796355841372
1.0,1e-05,1.0,2026,train,neighbor_overlap,10,0.0006788138620936048
1.0,1e-05,1.0,2026,train,neighbor_overlap,20,0.0014505180421579137
1.0,1e-05,1.0,2026,test,cosine_mean,,0.007052111499291423
1.0,1e-05,1.0,2026,test,cosine_std,,0.050437309055938254
1.0,1e-05,1.0,2026,test,cosine_min,,-0.18339410040793666
1.0,1e-05,1.0,2026,test,cosine_max,,0.2130047346380585
1.0,1e-05,1.0,2026,test,l2_distance_mean,,73.05335329869702
1.0,1e-05,1.0,2026,test,l2_distance_std,,2.6728462266716746
1.0,1e-05,1.0,2026,test,l2_distance_min,,61.66238953407806
1.0,1e-05,1.0,2026,test,l2_distance_max,,82.25201364782536
1.0,1e-05,1.0,2026,test,absolute_delta_mean,,2.9770428582260045
1.0,1e-05,1.0,2026,test,absolute_delta_std,,2.2480474225131553
1.0,1e-05,1.0,2026,test,absolute_delta_min,,2.3730099201202393e-06
1.0,1e-05,1.0,2026,test,absolute_delta_max,,19.43170427158475
1.0,1e-05,1.0,2026,test,original_norm_mean,,0.5867764179447457
1.0,1e-05,1.0,2026,test,original_norm_std,,0.09971744554259364
1.0,1e-05,1.0,2026,test,original_norm_min,,0.32245568233794636
1.0,1e-05,1.0,2026,test,original_norm_max,,1.0000000278559538
1.0,1e-05,1.0,2026,test,private_norm_mean,,73.05534864272562
1.0,1e-05,1.0,2026,test,private_norm_std,,2.6732591630014197
1.0,1e-05,1.0,2026,test,private_norm_min,,61.66841583182792
1.0,1e-05,1.0,2026,test,private_norm_max,,82.25767820745837
1.0,1e-05,1.0,2026,test,relative_l2_distance_mean,,128.20632636126908
1.0,1e-05,1.0,2026,test,relative_l2_distance_std,,22.8232622985115
1.0,1e-05,1.0,2026,test,relative_l2_distance_min,,75.31104997901312
1.0,1e-05,1.0,2026,test,relative_l2_distance_max,,234.87345443913546
1.0,1e-05,1.0,2026,test,private_to_original_norm_ratio_mean,,128.20936716655208
1.0,1e-05,1.0,2026,test,private_to_original_norm_ratio_std,,22.821371325565565
1.0,1e-05,1.0,2026,test,private_to_original_norm_ratio_min,,75.3583682023306
1.0,1e-05,1.0,2026,test,private_to_original_norm_ratio_max,,234.85267903403587
1.0,1e-05,1.0,2026,test,neighbor_overlap,5,0.001657616461846242
1.0,1e-05,1.0,2026,test,neighbor_overlap,10,0.0029436981994855676
1.0,1e-05,1.0,2026,test,neighbor_overlap,20,0.00583023721063161
10.0,1e-05,1.0,2026,train,cosine_mean,,0.05989543557880402
10.0,1e-05,1.0,2026,train,cosine_std,,0.0521416069487764
10.0,1e-05,1.0,2026,train,cosine_min,,-0.1365031373049068
10.0,1e-05,1.0,2026,train,cosine_max,,0.263706941604666
10.0,1e-05,1.0,2026,train,l2_distance_mean,,9.79153280319814
10.0,1e-05,1.0,2026,train,l2_distance_std,,0.3559151140591217
10.0,1e-05,1.0,2026,train,l2_distance_min,,8.538757000397219
10.0,1e-05,1.0,2026,train,l2_distance_max,,11.391307730651716
10.0,1e-05,1.0,2026,train,absolute_delta_mean,,0.39890307824844196
10.0,1e-05,1.0,2026,train,absolute_delta_std,,0.30146043187819954
10.0,1e-05,1.0,2026,train,absolute_delta_min,,4.470348358154297e-08
10.0,1e-05,1.0,2026,train,absolute_delta_max,,2.583543114364147
10.0,1e-05,1.0,2026,train,original_norm_mean,,0.5873496396214581
10.0,1e-05,1.0,2026,train,original_norm_std,,0.09926824026493279
10.0,1e-05,1.0,2026,train,original_norm_min,,0.3025874329309691
10.0,1e-05,1.0,2026,train,original_norm_max,,1.0000000785710612
10.0,1e-05,1.0,2026,train,private_norm_mean,,9.809707230099619
10.0,1e-05,1.0,2026,train,private_norm_std,,0.3569186599937796
10.0,1e-05,1.0,2026,train,private_norm_min,,8.543836773832226
10.0,1e-05,1.0,2026,train,private_norm_max,,11.432723495553672
10.0,1e-05,1.0,2026,train,relative_l2_distance_mean,,17.15706119369223
10.0,1e-05,1.0,2026,train,relative_l2_distance_std,,3.0085386666451193
10.0,1e-05,1.0,2026,train,relative_l2_distance_min,,9.50506742623553
10.0,1e-05,1.0,2026,train,relative_l2_distance_max,,33.23379918193651
10.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_mean,,17.18709068078642
10.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_std,,3.0035301923275077
10.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_min,,9.57667794987249
10.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_max,,33.187516397373535
10.0,1e-05,1.0,2026,train,neighbor_overlap,5,0.0003715612718828154
10.0,1e-05,1.0,2026,train,neighbor_overlap,10,0.0007431225437656306
10.0,1e-05,1.0,2026,train,neighbor_overlap,20,0.0015219721329046089
10.0,1e-05,1.0,2026,test,cosine_mean,,0.05879108036897054
