privacy_mode,epsilon,delta,sensitivity,dp_seed,task,classifier,train_fraction,metric,mean,std,n,baseline_mean,privacy_gain_vs_baseline,relative_attack_reduction,chance_level,attack_advantage_over_chance
none,,,,,age,mlp,1.0,balanced_accuracy,0.6720922634346074,0.008292490325547968,5,0.6720922634346074,0.0,0.0,0.25,0.4220922634346074
none,,,,,age,mlp,1.0,f1_macro,0.6809557476318807,0.008849906365487884,5,0.6809557476318807,0.0,0.0,nan,nan
none,,,,,age,random_forest,0.1,accuracy,0.6933409545584454,0.0030178211034499946,5,0.6933409545584454,0.0,0.0,nan,nan
none,,,,,age,random_forest,0.1,balanced_accuracy,0.5459634838563955,0.003853998025440571,5,0.5459634838563955,0.0,0.0,0.25,0.2959634838563955
none,,,,,age,random_forest,0.1,f1_macro,0.5096293364679791,0.007417084532505452,5,0.5096293364679791,0.0,0.0,nan,nan
none,,,,,age,random_forest,0.25,accuracy,0.700943126607602,0.0031215930084968328,5,0.700943126607602,0.0,0.0,nan,nan
none,,,,,age,random_forest,0.25,balanced_accuracy,0.5552386463476646,0.004290763725267197,5,0.5552386463476646,0.0,0.0,0.25,0.3052386463476646
none,,,,,age,random_forest,0.25,f1_macro,0.5242634284792578,0.008660008729492297,5,0.5242634284792578,0.0,0.0,nan,nan
none,,,,,age,random_forest,0.5,accuracy,0.7074021148899685,0.001095758188778543,5,0.7074021148899685,0.0,0.0,nan,nan
none,,,,,age,random_forest,0.5,balanced_accuracy,0.5608799276099773,0.0014846827479619452,5,0.5608799276099773,0.0,0.0,0.25,0.3108799276099773
none,,,,,age,random_forest,0.5,f1_macro,0.5305058139074685,0.0034395451371007496,5,0.5305058139074685,0.0,0.0,nan,nan
none,,,,,age,random_forest,0.75,accuracy,0.7102029151186053,0.002330595374435561,5,0.7102029151186053,0.0,0.0,nan,nan
none,,,,,age,random_forest,0.75,balanced_accuracy,0.5643863945894138,0.0027425091369354675,5,0.5643863945894138,0.0,0.0,0.25,0.31438639458941375
none,,,,,age,random_forest,0.75,f1_macro,0.5359920287326291,0.004395422817304404,5,0.5359920287326291,0.0,0.0,nan,nan
none,,,,,age,random_forest,1.0,accuracy,0.7112889396970564,0.0023077026851313224,5,0.7112889396970564,0.0,0.0,nan,nan
none,,,,,age,random_forest,1.0,balanced_accuracy,0.5663890943497728,0.002113929898387517,5,0.5663890943497728,0.0,0.0,0.25,0.3163890943497728
none,,,,,age,random_forest,1.0,f1_macro,0.5397885499648163,0.0026268554927084114,5,0.5397885499648163,0.0,0.0,nan,nan
none,,,,,age,xgboost,0.1,accuracy,0.7176907687910831,0.0050213948434454534,5,0.7176907687910831,0.0,0.0,nan,nan
none,,,,,age,xgboost,0.1,balanced_accuracy,0.5951733258180918,0.009257896802225375,5,0.5951733258180918,0.0,0.0,0.25,0.3451733258180918
none,,,,,age,xgboost,0.1,f1_macro,0.5935387010463521,0.013705374933645065,5,0.5935387010463521,0.0,0.0,nan,nan
none,,,,,age,xgboost,0.25,accuracy,0.7283795370105745,0.002370556313612796,5,0.7283795370105745,0.0,0.0,nan,nan
none,,,,,age,xgboost,0.25,balanced_accuracy,0.6166932827143728,0.008310001655769148,5,0.6166932827143728,0.0,0.0,0.25,0.36669328271437285
none,,,,,age,xgboost,0.25,f1_macro,0.6218107415077683,0.01111775901521655,5,0.6218107415077683,0.0,0.0,nan,nan
none,,,,,age,xgboost,0.5,accuracy,0.7346670477279222,0.004139604014518443,5,0.7346670477279222,0.0,0.0,nan,nan
none,,,,,age,xgboost,0.5,balanced_accuracy,0.6284489841187196,0.005980146236478624,5,0.6284489841187196,0.0,0.0,0.25,0.37844898411871963
none,,,,,age,xgboost,0.5,f1_macro,0.6359274989841806,0.006914971224013535,5,0.6359274989841806,0.0,0.0,nan,nan
none,,,,,age,xgboost,0.75,accuracy,0.7378108030865962,0.0008233701223713972,5,0.7378108030865962,0.0,0.0,nan,nan
none,,,,,age,xgboost,0.75,balanced_accuracy,0.6322241362416631,0.002196764057784595,5,0.6322241362416631,0.0,0.0,0.25,0.38222413624166307
none,,,,,age,xgboost,0.75,f1_macro,0.6401916662679313,0.0033453922695508903,5,0.6401916662679313,0.0,0.0,nan,nan
none,,,,,age,xgboost,1.0,accuracy,0.7408973992569307,0.0015601422193719484,5,0.7408973992569307,0.0,0.0,nan,nan
none,,,,,age,xgboost,1.0,balanced_accuracy,0.6377445568294057,0.0021291940404414155,5,0.6377445568294057,0.0,0.0,0.25,0.3877445568294057
none,,,,,age,xgboost,1.0,f1_macro,0.6466035084579465,0.0025225459499918943,5,0.6466035084579465,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,0.1,accuracy,0.7187196341811947,0.002781192483727428,5,0.7187196341811947,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,0.1,balanced_accuracy,0.7187644947353358,0.0028283648426003925,5,0.7187644947353358,0.0,0.0,0.5,0.21876449473533577
none,,,,,gender,hist_gradient_boosting,0.1,f1_macro,0.7186269192867397,0.002731148415066166,5,0.7186269192867397,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,0.25,accuracy,0.7493569591311803,0.0063873954383044,5,0.7493569591311803,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,0.25,balanced_accuracy,0.7493617252075904,0.006346453801284262,5,0.7493617252075904,0.0,0.0,0.5,0.24936172520759037
none,,,,,gender,hist_gradient_boosting,0.25,f1_macro,0.7493162635709523,0.006357779037519056,5,0.7493162635709523,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,0.5,accuracy,0.755187196341812,0.002925746531482083,5,0.755187196341812,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,0.5,balanced_accuracy,0.7551800075410198,0.002919948162548041,5,0.7551800075410198,0.0,0.0,0.5,0.25518000754101977
none,,,,,gender,hist_gradient_boosting,0.5,f1_macro,0.7551748925370161,0.002922616331005769,5,0.7551748925370161,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,0.75,accuracy,0.7611889111174621,0.0033549083945879463,5,0.7611889111174621,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,0.75,balanced_accuracy,0.7611571152527908,0.0033848278458152616,5,0.7611571152527908,0.0,0.0,0.5,0.26115711525279084
none,,,,,gender,hist_gradient_boosting,0.75,f1_macro,0.7611611353789319,0.0033738453690506636,5,0.7611611353789319,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,1.0,accuracy,0.7660474421263218,0.00475487495697863,5,0.7660474421263218,0.0,0.0,nan,nan
none,,,,,gender,hist_gradient_boosting,1.0,balanced_accuracy,0.7660105848733939,0.004768920672920529,5,0.7660105848733939,0.0,0.0,0.5,0.2660105848733939
none,,,,,gender,hist_gradient_boosting,1.0,f1_macro,0.7660164869425714,0.00476474471561009,5,0.7660164869425714,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,0.1,accuracy,0.7195770220062875,0.01031125459013491,5,0.7195770220062875,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,0.1,balanced_accuracy,0.7195414680941019,0.010314295314637158,5,0.7195414680941019,0.0,0.0,0.5,0.2195414680941019
none,,,,,gender,logistic_regression,0.1,f1_macro,0.7195200820441751,0.010310074327131984,5,0.7195200820441751,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,0.25,accuracy,0.7635895970277222,0.004322043561848227,5,0.7635895970277222,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,0.25,balanced_accuracy,0.7635424038601657,0.004300428738051233,5,0.7635424038601657,0.0,0.0,0.5,0.2635424038601657
none,,,,,gender,logistic_regression,0.25,f1_macro,0.7635294360033901,0.004308644462643708,5,0.7635294360033901,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,0.5,accuracy,0.7762217776507574,0.0028579594169762966,5,0.7762217776507574,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,0.5,balanced_accuracy,0.7761674694520083,0.0028280939457157425,5,0.7761674694520083,0.0,0.0,0.5,0.2761674694520083
none,,,,,gender,logistic_regression,0.5,f1_macro,0.7761800801035609,0.0028300198818498666,5,0.7761800801035609,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,0.75,accuracy,0.782052014861389,0.0027457241782167375,5,0.782052014861389,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,0.75,balanced_accuracy,0.7819824844458297,0.0027384348544277795,5,0.7819824844458297,0.0,0.0,0.5,0.28198248444582974
none,,,,,gender,logistic_regression,0.75,f1_macro,0.781997754577689,0.0027400715560659808,5,0.781997754577689,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,1.0,accuracy,0.7825092883681052,0.0,5,0.7825092883681052,0.0,0.0,nan,nan
none,,,,,gender,logistic_regression,1.0,balanced_accuracy,0.7824348802879442,0.0,5,0.7824348802879442,0.0,0.0,0.5,0.28243488028794417
none,,,,,gender,logistic_regression,1.0,f1_macro,0.7824535646430741,0.0,5,0.7824535646430741,0.0,0.0,nan,nan
none,,,,,gender,mlp,0.1,accuracy,0.7436981994855673,0.006140956128998013,5,0.7436981994855673,0.0,0.0,nan,nan
none,,,,,gender,mlp,0.1,balanced_accuracy,0.7436646938470114,0.0061992041261519975,5,0.7436646938470114,0.0,0.0,0.5,0.2436646938470114
none,,,,,gender,mlp,0.1,f1_macro,0.7435706001090778,0.006084805150389963,5,0.7435706001090778,0.0,0.0,nan,nan
none,,,,,gender,mlp,0.25,accuracy,0.7666190340097171,0.004280265358740533,5,0.7666190340097171,0.0,0.0,nan,nan
none,,,,,gender,mlp,0.25,balanced_accuracy,0.7665266611644668,0.004291688763357818,5,0.7665266611644668,0.0,0.0,0.5,0.26652666116446677
none,,,,,gender,mlp,0.25,f1_macro,0.7665264919690011,0.004299706658025792,5,0.7665264919690011,0.0,0.0,nan,nan
none,,,,,gender,mlp,0.5,accuracy,0.7761646184624178,0.004732490847719276,5,0.7761646184624178,0.0,0.0,nan,nan
none,,,,,gender,mlp,0.5,balanced_accuracy,0.7761017305790967,0.004688311526026403,5,0.7761017305790967,0.0,0.0,0.5,0.2761017305790967
none,,,,,gender,mlp,0.5,f1_macro,0.7761014453832098,0.004704817218277513,5,0.7761014453832098,0.0,0.0,nan,nan
none,,,,,gender,mlp,0.75,accuracy,0.7767933695341526,0.001143183766790512,5,0.7767933695341526,0.0,0.0,nan,nan
none,,,,,gender,mlp,0.75,balanced_accuracy,0.776694981431709,0.0010788831205809824,5,0.776694981431709,0.0,0.0,0.5,0.276694981431709
none,,,,,gender,mlp,0.75,f1_macro,0.7766838976656889,0.001040960278025451,5,0.7766838976656889,0.0,0.0,nan,nan
none,,,,,gender,mlp,1.0,accuracy,0.7757073449557017,0.004128737596977693,5,0.7757073449557017,0.0,0.0,nan,nan
none,,,,,gender,mlp,1.0,balanced_accuracy,0.7755815374401178,0.004078110499084571,5,0.7755815374401178,0.0,0.0,0.5,0.2755815374401178
none,,,,,gender,mlp,1.0,f1_macro,0.7755487127223507,0.0040622628269042305,5,0.7755487127223507,0.0,0.0,nan,nan
none,,,,,gender,random_forest,0.1,accuracy,0.722663618176622,0.007802281551748736,5,0.722663618176622,0.0,0.0,nan,nan
none,,,,,gender,random_forest,0.1,balanced_accuracy,0.7227001033132784,0.0077444025141711215,5,0.7227001033132784,0.0,0.0,0.5,0.22270010331327839
none,,,,,gender,random_forest,0.1,f1_macro,0.7226005811035696,0.007806421598895505,5,0.7226005811035696,0.0,0.0,nan,nan
none,,,,,gender,random_forest,0.25,accuracy,0.735524435553015,0.005725199667497321,5,0.735524435553015,0.0,0.0,nan,nan
none,,,,,gender,random_forest,0.25,balanced_accuracy,0.7355603520101,0.005691463787884203,5,0.7355603520101,0.0,0.0,0.5,0.23556035201009995
none,,,,,gender,random_forest,0.25,f1_macro,0.7355024119882756,0.005716302668009497,5,0.7355024119882756,0.0,0.0,nan,nan
none,,,,,gender,random_forest,0.5,accuracy,0.7354672763646757,0.005495908718633393,5,0.7354672763646757,0.0,0.0,nan,nan
none,,,,,gender,random_forest,0.5,balanced_accuracy,0.7355027814862083,0.005466888015583143,5,0.7355027814862083,0.0,0.0,0.5,0.2355027814862083
none,,,,,gender,random_forest,0.5,f1_macro,0.7354609108057696,0.005497073029051534,5,0.7354609108057696,0.0,0.0,nan,nan
none,,,,,gender,random_forest,0.75,accuracy,0.7415833095170049,0.004236147621117143,5,0.7415833095170049,0.0,0.0,nan,nan
none,,,,,gender,random_forest,0.75,balanced_accuracy,0.74163097098145,0.004213131326820542,5,0.74163097098145,0.0,0.0,0.5,0.24163097098145003
none,,,,,gender,random_forest,0.75,f1_macro,0.7415798166725429,0.0042379219885495594,5,0.7415798166725429,0.0,0.0,nan,nan
none,,,,,gender,random_forest,1.0,accuracy,0.7397542154901401,0.003932161661358134,5,0.7397542154901401,0.0,0.0,nan,nan
none,,,,,gender,random_forest,1.0,balanced_accuracy,0.7398083182545611,0.003928099616537107,5,0.7398083182545611,0.0,0.0,0.5,0.23980831825456106
none,,,,,gender,random_forest,1.0,f1_macro,0.7397490721052955,0.003932091668047216,5,0.7397490721052955,0.0,0.0,nan,nan
