task,classifier,train_fraction,seed,n_train,class_label,precision,recall,f1,support
gender,logistic_regression,0.1,13,16,F,0.5492957746478874,0.5492957746478874,0.5492957746478874,71.0
gender,logistic_regression,0.1,13,16,M,0.5492957746478874,0.5492957746478874,0.5492957746478874,71.0
gender,random_forest,0.1,13,16,F,0.4393939393939394,0.4084507042253521,0.4233576642335766,71.0
gender,random_forest,0.1,13,16,M,0.4473684210526316,0.4788732394366197,0.46258503401360546,71.0
gender,hist_gradient_boosting,0.1,13,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,13,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,13,16,F,0.5,0.8028169014084507,0.6162162162162163,71.0
gender,mlp,0.1,13,16,M,0.5,0.19718309859154928,0.2828282828282828,71.0
gender,logistic_regression,0.1,21,16,F,0.4722222222222222,0.4788732394366197,0.4755244755244755,71.0
gender,logistic_regression,0.1,21,16,M,0.4714285714285714,0.4647887323943662,0.46808510638297873,71.0
gender,random_forest,0.1,21,16,F,0.5344827586206896,0.43661971830985913,0.4806201550387597,71.0
gender,random_forest,0.1,21,16,M,0.5238095238095238,0.6197183098591549,0.567741935483871,71.0
gender,hist_gradient_boosting,0.1,21,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,21,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,21,16,F,0.4918032786885246,0.8450704225352113,0.6217616580310881,71.0
gender,mlp,0.1,21,16,M,0.45,0.1267605633802817,0.1978021978021978,71.0
gender,logistic_regression,0.1,34,16,F,0.5384615384615384,0.6901408450704225,0.6049382716049383,71.0
gender,logistic_regression,0.1,34,16,M,0.5686274509803921,0.4084507042253521,0.47540983606557374,71.0
gender,random_forest,0.1,34,16,F,0.4857142857142857,0.4788732394366197,0.48226950354609927,71.0
gender,random_forest,0.1,34,16,M,0.4861111111111111,0.49295774647887325,0.48951048951048953,71.0
gender,hist_gradient_boosting,0.1,34,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,34,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,34,16,F,0.5581395348837209,0.3380281690140845,0.42105263157894735,71.0
gender,mlp,0.1,34,16,M,0.5252525252525253,0.7323943661971831,0.611764705882353,71.0
gender,logistic_regression,0.1,55,16,F,0.44776119402985076,0.4225352112676056,0.43478260869565216,71.0
