task,classifier,train_fraction,seed,n_train,metric,value
gender,logistic_regression,0.1,13,1400,accuracy,0.5221491854815662
gender,logistic_regression,0.1,13,1400,balanced_accuracy,0.5222268945178616
gender,logistic_regression,0.1,13,1400,precision_macro,0.5222359760785318
gender,logistic_regression,0.1,13,1400,recall_macro,0.5222268945178616
gender,logistic_regression,0.1,13,1400,f1_macro,0.5221247901551136
gender,logistic_regression,0.1,13,1400,precision_micro,0.5221491854815662
gender,logistic_regression,0.1,13,1400,recall_micro,0.5221491854815662
gender,logistic_regression,0.1,13,1400,f1_micro,0.5221491854815662
gender,logistic_regression,0.1,13,1400,precision_weighted,0.5222649062775204
gender,logistic_regression,0.1,13,1400,recall_weighted,0.5221491854815662
gender,logistic_regression,0.1,13,1400,f1_weighted,0.5221003948286612
gender,random_forest,0.1,13,1400,accuracy,0.5238639611317519
gender,random_forest,0.1,13,1400,balanced_accuracy,0.5235415086091131
gender,random_forest,0.1,13,1400,precision_macro,0.5237351216947531
gender,random_forest,0.1,13,1400,recall_macro,0.5235415086091131
gender,random_forest,0.1,13,1400,f1_macro,0.5227240423915321
gender,random_forest,0.1,13,1400,precision_micro,0.5238639611317519
gender,random_forest,0.1,13,1400,recall_micro,0.5238639611317519
gender,random_forest,0.1,13,1400,f1_micro,0.5238639611317519
gender,random_forest,0.1,13,1400,precision_weighted,0.5237452825336332
gender,random_forest,0.1,13,1400,recall_weighted,0.5238639611317519
gender,random_forest,0.1,13,1400,f1_weighted,0.522890697178114
gender,hist_gradient_boosting,0.1,13,1400,accuracy,0.4998571020291512
gender,hist_gradient_boosting,0.1,13,1400,balanced_accuracy,0.4998560736902706
gender,hist_gradient_boosting,0.1,13,1400,precision_macro,0.49985608102589235
gender,hist_gradient_boosting,0.1,13,1400,recall_macro,0.4998560736902706
gender,hist_gradient_boosting,0.1,13,1400,f1_macro,0.4998501980587498
gender,hist_gradient_boosting,0.1,13,1400,precision_micro,0.4998571020291512
gender,hist_gradient_boosting,0.1,13,1400,recall_micro,0.4998571020291512
gender,hist_gradient_boosting,0.1,13,1400,f1_micro,0.4998571020291512
gender,hist_gradient_boosting,0.1,13,1400,precision_weighted,0.4998816061073633
gender,hist_gradient_boosting,0.1,13,1400,recall_weighted,0.4998571020291512
gender,hist_gradient_boosting,0.1,13,1400,f1_weighted,0.49986347492490635
gender,xgboost,0.1,13,1400,accuracy,0.5124321234638468
gender,xgboost,0.1,13,1400,balanced_accuracy,0.5125134205974395
gender,xgboost,0.1,13,1400,precision_macro,0.5125191635694415
gender,xgboost,0.1,13,1400,recall_macro,0.5125134205974395
gender,xgboost,0.1,13,1400,f1_macro,0.5124030898839693
gender,xgboost,0.1,13,1400,precision_micro,0.5124321234638468
gender,xgboost,0.1,13,1400,recall_micro,0.5124321234638468
gender,xgboost,0.1,13,1400,f1_micro,0.5124321234638468
gender,xgboost,0.1,13,1400,precision_weighted,0.5125467079066551
gender,xgboost,0.1,13,1400,recall_weighted,0.5124321234638468
gender,xgboost,0.1,13,1400,f1_weighted,0.5123762069396383
gender,mlp,0.1,13,1400,accuracy,0.48185195770220063
gender,mlp,0.1,13,1400,balanced_accuracy,0.48226455387418254
gender,mlp,0.1,13,1400,precision_macro,0.4820246352008647
gender,mlp,0.1,13,1400,recall_macro,0.48226455387418254
gender,mlp,0.1,13,1400,f1_macro,0.4803196159287275
gender,mlp,0.1,13,1400,precision_micro,0.48185195770220063
gender,mlp,0.1,13,1400,recall_micro,0.48185195770220063
gender,mlp,0.1,13,1400,f1_micro,0.48185195770220063
gender,mlp,0.1,13,1400,precision_weighted,0.48203529430572056
gender,mlp,0.1,13,1400,recall_weighted,0.48185195770220063
gender,mlp,0.1,13,1400,f1_weighted,0.4801179920111653
gender,logistic_regression,0.1,21,1400,accuracy,0.5175764504144041
gender,logistic_regression,0.1,21,1400,balanced_accuracy,0.5174987273712227
gender,logistic_regression,0.1,21,1400,precision_macro,0.5175063119674379
gender,logistic_regression,0.1,21,1400,recall_macro,0.5174987273712227
gender,logistic_regression,0.1,21,1400,f1_macro,0.5174739387601712
gender,logistic_regression,0.1,21,1400,precision_micro,0.5175764504144041
gender,logistic_regression,0.1,21,1400,recall_micro,0.5175764504144041
gender,logistic_regression,0.1,21,1400,f1_micro,0.5175764504144041
gender,logistic_regression,0.1,21,1400,precision_weighted,0.5175290841904789
gender,logistic_regression,0.1,21,1400,recall_weighted,0.5175764504144041
gender,logistic_regression,0.1,21,1400,f1_weighted,0.5175241895710697
gender,random_forest,0.1,21,1400,accuracy,0.5144326950557302
gender,random_forest,0.1,21,1400,balanced_accuracy,0.514209823321878
gender,random_forest,0.1,21,1400,precision_macro,0.5142649798606647
gender,random_forest,0.1,21,1400,recall_macro,0.514209823321878
gender,random_forest,0.1,21,1400,f1_macro,0.5138416650740257
gender,random_forest,0.1,21,1400,precision_micro,0.5144326950557302
gender,random_forest,0.1,21,1400,recall_micro,0.5144326950557302
