task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,random_forest,0.25,55,38,F,M,29
gender,random_forest,0.25,55,38,M,F,31
gender,random_forest,0.25,55,38,M,M,40
gender,hist_gradient_boosting,0.25,55,38,F,F,71
gender,hist_gradient_boosting,0.25,55,38,F,M,0
gender,hist_gradient_boosting,0.25,55,38,M,F,71
gender,hist_gradient_boosting,0.25,55,38,M,M,0
gender,mlp,0.25,55,38,F,F,61
gender,mlp,0.25,55,38,F,M,10
gender,mlp,0.25,55,38,M,F,58
gender,mlp,0.25,55,38,M,M,13
gender,logistic_regression,0.25,89,38,F,F,50
gender,logistic_regression,0.25,89,38,F,M,21
gender,logistic_regression,0.25,89,38,M,F,27
gender,logistic_regression,0.25,89,38,M,M,44
gender,random_forest,0.25,89,38,F,F,51
gender,random_forest,0.25,89,38,F,M,20
gender,random_forest,0.25,89,38,M,F,31
gender,random_forest,0.25,89,38,M,M,40
gender,hist_gradient_boosting,0.25,89,38,F,F,71
gender,hist_gradient_boosting,0.25,89,38,F,M,0
gender,hist_gradient_boosting,0.25,89,38,M,F,71
gender,hist_gradient_boosting,0.25,89,38,M,M,0
gender,mlp,0.25,89,38,F,F,41
gender,mlp,0.25,89,38,F,M,30
gender,mlp,0.25,89,38,M,F,39
gender,mlp,0.25,89,38,M,M,32
gender,logistic_regression,0.5,13,76,F,F,41
gender,logistic_regression,0.5,13,76,F,M,30
gender,logistic_regression,0.5,13,76,M,F,25
gender,logistic_regression,0.5,13,76,M,M,46
gender,random_forest,0.5,13,76,F,F,34
gender,random_forest,0.5,13,76,F,M,37
gender,random_forest,0.5,13,76,M,F,19
gender,random_forest,0.5,13,76,M,M,52
gender,hist_gradient_boosting,0.5,13,76,F,F,48
gender,hist_gradient_boosting,0.5,13,76,F,M,23
gender,hist_gradient_boosting,0.5,13,76,M,F,36
gender,hist_gradient_boosting,0.5,13,76,M,M,35
gender,mlp,0.5,13,76,F,F,47
gender,mlp,0.5,13,76,F,M,24
gender,mlp,0.5,13,76,M,F,43
gender,mlp,0.5,13,76,M,M,28
gender,logistic_regression,0.5,21,76,F,F,40
gender,logistic_regression,0.5,21,76,F,M,31
gender,logistic_regression,0.5,21,76,M,F,16
