task,classifier,train_fraction,seed,n_train,metric,value
gender,logistic_regression,0.1,13,16,accuracy,0.5
gender,logistic_regression,0.1,13,16,balanced_accuracy,0.5
gender,logistic_regression,0.1,13,16,precision_macro,0.5
gender,logistic_regression,0.1,13,16,recall_macro,0.5
gender,logistic_regression,0.1,13,16,f1_macro,0.499776730339866
gender,logistic_regression,0.1,13,16,precision_micro,0.5
gender,logistic_regression,0.1,13,16,recall_micro,0.5
gender,logistic_regression,0.1,13,16,f1_micro,0.5
gender,logistic_regression,0.1,13,16,precision_weighted,0.5
gender,logistic_regression,0.1,13,16,recall_weighted,0.5
gender,logistic_regression,0.1,13,16,f1_weighted,0.4997767303398661
gender,random_forest,0.1,13,16,accuracy,0.5070422535211268
gender,random_forest,0.1,13,16,balanced_accuracy,0.5070422535211268
gender,random_forest,0.1,13,16,precision_macro,0.5071328109302793
gender,random_forest,0.1,13,16,recall_macro,0.5070422535211268
gender,random_forest,0.1,13,16,f1_macro,0.5054726368159204
gender,random_forest,0.1,13,16,precision_micro,0.5070422535211268
gender,random_forest,0.1,13,16,recall_micro,0.5070422535211268
gender,random_forest,0.1,13,16,f1_micro,0.5070422535211268
gender,random_forest,0.1,13,16,precision_weighted,0.5071328109302792
gender,random_forest,0.1,13,16,recall_weighted,0.5070422535211268
gender,random_forest,0.1,13,16,f1_weighted,0.5054726368159204
gender,hist_gradient_boosting,0.1,13,16,accuracy,0.5
gender,hist_gradient_boosting,0.1,13,16,balanced_accuracy,0.5
gender,hist_gradient_boosting,0.1,13,16,precision_macro,0.25
gender,hist_gradient_boosting,0.1,13,16,recall_macro,0.5
gender,hist_gradient_boosting,0.1,13,16,f1_macro,0.3333333333333333
gender,hist_gradient_boosting,0.1,13,16,precision_micro,0.5
gender,hist_gradient_boosting,0.1,13,16,recall_micro,0.5
gender,hist_gradient_boosting,0.1,13,16,f1_micro,0.5
gender,hist_gradient_boosting,0.1,13,16,precision_weighted,0.25
gender,hist_gradient_boosting,0.1,13,16,recall_weighted,0.5
gender,hist_gradient_boosting,0.1,13,16,f1_weighted,0.3333333333333333
gender,xgboost,0.1,13,16,accuracy,0.4859154929577465
gender,xgboost,0.1,13,16,balanced_accuracy,0.48591549295774644
gender,xgboost,0.1,13,16,precision_macro,0.4825980392156862
gender,xgboost,0.1,13,16,recall_macro,0.48591549295774644
gender,xgboost,0.1,13,16,f1_macro,0.4601885122116336
gender,xgboost,0.1,13,16,precision_micro,0.4859154929577465
gender,xgboost,0.1,13,16,recall_micro,0.4859154929577465
gender,xgboost,0.1,13,16,f1_micro,0.4859154929577465
gender,xgboost,0.1,13,16,precision_weighted,0.4825980392156863
gender,xgboost,0.1,13,16,recall_weighted,0.4859154929577465
gender,xgboost,0.1,13,16,f1_weighted,0.46018851221163365
gender,mlp,0.1,13,16,accuracy,0.4859154929577465
gender,mlp,0.1,13,16,balanced_accuracy,0.4859154929577465
gender,mlp,0.1,13,16,precision_macro,0.48139412997903563
gender,mlp,0.1,13,16,recall_macro,0.4859154929577465
gender,mlp,0.1,13,16,f1_macro,0.45266381540736045
gender,mlp,0.1,13,16,precision_micro,0.4859154929577465
gender,mlp,0.1,13,16,recall_micro,0.4859154929577465
gender,mlp,0.1,13,16,f1_micro,0.4859154929577465
gender,mlp,0.1,13,16,precision_weighted,0.4813941299790356
gender,mlp,0.1,13,16,recall_weighted,0.4859154929577465
gender,mlp,0.1,13,16,f1_weighted,0.45266381540736045
gender,logistic_regression,0.1,21,16,accuracy,0.5633802816901409
gender,logistic_regression,0.1,21,16,balanced_accuracy,0.5633802816901409
gender,logistic_regression,0.1,21,16,precision_macro,0.5646630236794171
gender,logistic_regression,0.1,21,16,recall_macro,0.5633802816901409
gender,logistic_regression,0.1,21,16,f1_macro,0.5612041467304625
gender,logistic_regression,0.1,21,16,precision_micro,0.5633802816901409
gender,logistic_regression,0.1,21,16,recall_micro,0.5633802816901409
gender,logistic_regression,0.1,21,16,f1_micro,0.5633802816901409
gender,logistic_regression,0.1,21,16,precision_weighted,0.564663023679417
gender,logistic_regression,0.1,21,16,recall_weighted,0.5633802816901409
gender,logistic_regression,0.1,21,16,f1_weighted,0.5612041467304625
gender,random_forest,0.1,21,16,accuracy,0.5352112676056338
gender,random_forest,0.1,21,16,balanced_accuracy,0.5352112676056338
gender,random_forest,0.1,21,16,precision_macro,0.5352392297002184
gender,random_forest,0.1,21,16,recall_macro,0.5352112676056338
gender,random_forest,0.1,21,16,f1_macro,0.5351190476190476
gender,random_forest,0.1,21,16,precision_micro,0.5352112676056338
gender,random_forest,0.1,21,16,recall_micro,0.5352112676056338
gender,random_forest,0.1,21,16,f1_micro,0.5352112676056338
gender,random_forest,0.1,21,16,precision_weighted,0.5352392297002184
gender,random_forest,0.1,21,16,recall_weighted,0.5352112676056338
gender,random_forest,0.1,21,16,f1_weighted,0.5351190476190476
gender,hist_gradient_boosting,0.1,21,16,accuracy,0.5
gender,hist_gradient_boosting,0.1,21,16,balanced_accuracy,0.5
gender,hist_gradient_boosting,0.1,21,16,precision_macro,0.25
gender,hist_gradient_boosting,0.1,21,16,recall_macro,0.5
gender,hist_gradient_boosting,0.1,21,16,f1_macro,0.3333333333333333
gender,hist_gradient_boosting,0.1,21,16,precision_micro,0.5
gender,hist_gradient_boosting,0.1,21,16,recall_micro,0.5
gender,hist_gradient_boosting,0.1,21,16,f1_micro,0.5
gender,hist_gradient_boosting,0.1,21,16,precision_weighted,0.25
gender,hist_gradient_boosting,0.1,21,16,recall_weighted,0.5
gender,hist_gradient_boosting,0.1,21,16,f1_weighted,0.3333333333333333
gender,xgboost,0.1,21,16,accuracy,0.4295774647887324
