task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,logistic_regression,0.5,55,76,F,F,46
gender,logistic_regression,0.5,55,76,F,M,25
gender,logistic_regression,0.5,55,76,M,F,38
gender,logistic_regression,0.5,55,76,M,M,33
gender,random_forest,0.5,55,76,F,F,40
gender,random_forest,0.5,55,76,F,M,31
gender,random_forest,0.5,55,76,M,F,38
gender,random_forest,0.5,55,76,M,M,33
gender,hist_gradient_boosting,0.5,55,76,F,F,33
gender,hist_gradient_boosting,0.5,55,76,F,M,38
gender,hist_gradient_boosting,0.5,55,76,M,F,40
gender,hist_gradient_boosting,0.5,55,76,M,M,31
gender,xgboost,0.5,55,76,F,F,37
gender,xgboost,0.5,55,76,F,M,34
gender,xgboost,0.5,55,76,M,F,37
gender,xgboost,0.5,55,76,M,M,34
gender,mlp,0.5,55,76,F,F,52
gender,mlp,0.5,55,76,F,M,19
gender,mlp,0.5,55,76,M,F,48
gender,mlp,0.5,55,76,M,M,23
gender,logistic_regression,0.5,89,76,F,F,36
gender,logistic_regression,0.5,89,76,F,M,35
gender,logistic_regression,0.5,89,76,M,F,34
gender,logistic_regression,0.5,89,76,M,M,37
gender,random_forest,0.5,89,76,F,F,37
gender,random_forest,0.5,89,76,F,M,34
gender,random_forest,0.5,89,76,M,F,36
gender,random_forest,0.5,89,76,M,M,35
gender,hist_gradient_boosting,0.5,89,76,F,F,35
gender,hist_gradient_boosting,0.5,89,76,F,M,36
gender,hist_gradient_boosting,0.5,89,76,M,F,37
gender,hist_gradient_boosting,0.5,89,76,M,M,34
gender,xgboost,0.5,89,76,F,F,25
gender,xgboost,0.5,89,76,F,M,46
gender,xgboost,0.5,89,76,M,F,32
gender,xgboost,0.5,89,76,M,M,39
gender,mlp,0.5,89,76,F,F,53
gender,mlp,0.5,89,76,F,M,18
gender,mlp,0.5,89,76,M,F,39
gender,mlp,0.5,89,76,M,M,32
gender,logistic_regression,0.75,13,114,F,F,43
gender,logistic_regression,0.75,13,114,F,M,28
gender,logistic_regression,0.75,13,114,M,F,36
gender,logistic_regression,0.75,13,114,M,M,35
gender,random_forest,0.75,13,114,F,F,37
gender,random_forest,0.75,13,114,F,M,34
gender,random_forest,0.75,13,114,M,F,33
gender,random_forest,0.75,13,114,M,M,38
gender,hist_gradient_boosting,0.75,13,114,F,F,41
gender,hist_gradient_boosting,0.75,13,114,F,M,30
gender,hist_gradient_boosting,0.75,13,114,M,F,34
gender,hist_gradient_boosting,0.75,13,114,M,M,37
gender,xgboost,0.75,13,114,F,F,35
gender,xgboost,0.75,13,114,F,M,36
gender,xgboost,0.75,13,114,M,F,28
gender,xgboost,0.75,13,114,M,M,43
gender,mlp,0.75,13,114,F,F,46
gender,mlp,0.75,13,114,F,M,25
gender,mlp,0.75,13,114,M,F,51
gender,mlp,0.75,13,114,M,M,20
gender,logistic_regression,0.75,21,114,F,F,30
gender,logistic_regression,0.75,21,114,F,M,41
gender,logistic_regression,0.75,21,114,M,F,28
gender,logistic_regression,0.75,21,114,M,M,43
gender,random_forest,0.75,21,114,F,F,35
gender,random_forest,0.75,21,114,F,M,36
gender,random_forest,0.75,21,114,M,F,33
gender,random_forest,0.75,21,114,M,M,38
gender,hist_gradient_boosting,0.75,21,114,F,F,28
gender,hist_gradient_boosting,0.75,21,114,F,M,43
gender,hist_gradient_boosting,0.75,21,114,M,F,34
gender,hist_gradient_boosting,0.75,21,114,M,M,37
gender,xgboost,0.75,21,114,F,F,27
gender,xgboost,0.75,21,114,F,M,44
gender,xgboost,0.75,21,114,M,F,31
gender,xgboost,0.75,21,114,M,M,40
gender,mlp,0.75,21,114,F,F,55
gender,mlp,0.75,21,114,F,M,16
gender,mlp,0.75,21,114,M,F,58
gender,mlp,0.75,21,114,M,M,13
gender,logistic_regression,0.75,34,114,F,F,39
gender,logistic_regression,0.75,34,114,F,M,32
gender,logistic_regression,0.75,34,114,M,F,38
gender,logistic_regression,0.75,34,114,M,M,33
gender,random_forest,0.75,34,114,F,F,36
gender,random_forest,0.75,34,114,F,M,35
gender,random_forest,0.75,34,114,M,F,39
gender,random_forest,0.75,34,114,M,M,32
gender,hist_gradient_boosting,0.75,34,114,F,F,36
gender,hist_gradient_boosting,0.75,34,114,F,M,35
gender,hist_gradient_boosting,0.75,34,114,M,F,38
gender,hist_gradient_boosting,0.75,34,114,M,M,33
gender,xgboost,0.75,34,114,F,F,32
gender,xgboost,0.75,34,114,F,M,39
gender,xgboost,0.75,34,114,M,F,33
gender,xgboost,0.75,34,114,M,M,38
gender,mlp,0.75,34,114,F,F,32
gender,mlp,0.75,34,114,F,M,39
gender,mlp,0.75,34,114,M,F,26
gender,mlp,0.75,34,114,M,M,45
gender,logistic_regression,0.75,55,114,F,F,36
gender,logistic_regression,0.75,55,114,F,M,35
gender,logistic_regression,0.75,55,114,M,F,35
gender,logistic_regression,0.75,55,114,M,M,36
gender,random_forest,0.75,55,114,F,F,38
gender,random_forest,0.75,55,114,F,M,33
gender,random_forest,0.75,55,114,M,F,37
