task,classifier,train_fraction,seed,n_train,class_label,precision,recall,f1,support
gender,logistic_regression,0.1,13,16,F,0.5753424657534246,0.5915492957746479,0.5833333333333334,71.0
gender,logistic_regression,0.1,13,16,M,0.5797101449275363,0.5633802816901409,0.5714285714285714,71.0
gender,random_forest,0.1,13,16,F,0.4383561643835616,0.4507042253521127,0.4444444444444444,71.0
gender,random_forest,0.1,13,16,M,0.43478260869565216,0.4225352112676056,0.42857142857142855,71.0
gender,hist_gradient_boosting,0.1,13,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,13,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,13,16,F,0.4818181818181818,0.7464788732394366,0.585635359116022,71.0
gender,mlp,0.1,13,16,M,0.4375,0.19718309859154928,0.27184466019417475,71.0
gender,logistic_regression,0.1,21,16,F,0.5205479452054794,0.5352112676056338,0.5277777777777778,71.0
gender,logistic_regression,0.1,21,16,M,0.5217391304347826,0.5070422535211268,0.5142857142857142,71.0
gender,random_forest,0.1,21,16,F,0.5531914893617021,0.36619718309859156,0.4406779661016949,71.0
gender,random_forest,0.1,21,16,M,0.5263157894736842,0.704225352112676,0.6024096385542169,71.0
gender,hist_gradient_boosting,0.1,21,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,21,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,21,16,F,0.4918032786885246,0.8450704225352113,0.6217616580310881,71.0
gender,mlp,0.1,21,16,M,0.45,0.1267605633802817,0.1978021978021978,71.0
gender,logistic_regression,0.1,34,16,F,0.5384615384615384,0.6901408450704225,0.6049382716049383,71.0
gender,logistic_regression,0.1,34,16,M,0.5686274509803921,0.4084507042253521,0.47540983606557374,71.0
gender,random_forest,0.1,34,16,F,0.5245901639344263,0.4507042253521127,0.48484848484848486,71.0
gender,random_forest,0.1,34,16,M,0.5185185185185185,0.5915492957746479,0.5526315789473685,71.0
gender,hist_gradient_boosting,0.1,34,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,34,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,34,16,F,0.5952380952380952,0.352112676056338,0.4424778761061947,71.0
gender,mlp,0.1,34,16,M,0.54,0.7605633802816901,0.631578947368421,71.0
gender,logistic_regression,0.1,55,16,F,0.47058823529411764,0.4507042253521127,0.460431654676259,71.0
gender,logistic_regression,0.1,55,16,M,0.47297297297297297,0.49295774647887325,0.4827586206896552,71.0
gender,random_forest,0.1,55,16,F,0.47619047619047616,0.5633802816901409,0.5161290322580645,71.0
gender,random_forest,0.1,55,16,M,0.46551724137931033,0.38028169014084506,0.4186046511627907,71.0
gender,hist_gradient_boosting,0.1,55,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,55,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,55,16,F,0.4846153846153846,0.8873239436619719,0.6268656716417911,71.0
gender,mlp,0.1,55,16,M,0.3333333333333333,0.056338028169014086,0.0963855421686747,71.0
gender,logistic_regression,0.1,89,16,F,0.6363636363636364,0.5915492957746479,0.6131386861313869,71.0
gender,logistic_regression,0.1,89,16,M,0.618421052631579,0.6619718309859155,0.6394557823129252,71.0
gender,random_forest,0.1,89,16,F,0.5333333333333333,0.4507042253521127,0.48854961832061067,71.0
gender,random_forest,0.1,89,16,M,0.524390243902439,0.6056338028169014,0.5620915032679739,71.0
gender,hist_gradient_boosting,0.1,89,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,89,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,89,16,F,0.4811320754716981,0.7183098591549296,0.576271186440678,71.0
gender,mlp,0.1,89,16,M,0.4444444444444444,0.22535211267605634,0.29906542056074764,71.0
gender,logistic_regression,0.25,13,38,F,0.5217391304347826,0.5070422535211268,0.5142857142857142,71.0
gender,logistic_regression,0.25,13,38,M,0.5205479452054794,0.5352112676056338,0.5277777777777778,71.0
gender,random_forest,0.25,13,38,F,0.5932203389830508,0.49295774647887325,0.5384615384615384,71.0
gender,random_forest,0.25,13,38,M,0.5662650602409639,0.6619718309859155,0.6103896103896104,71.0
gender,hist_gradient_boosting,0.25,13,38,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.25,13,38,M,0.0,0.0,0.0,71.0
gender,mlp,0.25,13,38,F,0.49074074074074076,0.7464788732394366,0.5921787709497207,71.0
gender,mlp,0.25,13,38,M,0.47058823529411764,0.22535211267605634,0.3047619047619048,71.0
gender,logistic_regression,0.25,21,38,F,0.5357142857142857,0.4225352112676056,0.47244094488188976,71.0
gender,logistic_regression,0.25,21,38,M,0.5232558139534884,0.6338028169014085,0.5732484076433121,71.0
gender,random_forest,0.25,21,38,F,0.5357142857142857,0.4225352112676056,0.47244094488188976,71.0
gender,random_forest,0.25,21,38,M,0.5232558139534884,0.6338028169014085,0.5732484076433121,71.0
gender,hist_gradient_boosting,0.25,21,38,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.25,21,38,M,0.0,0.0,0.0,71.0
gender,mlp,0.25,21,38,F,0.5038167938931297,0.9295774647887324,0.6534653465346535,71.0
gender,mlp,0.25,21,38,M,0.5454545454545454,0.08450704225352113,0.14634146341463414,71.0
gender,logistic_regression,0.25,34,38,F,0.6206896551724138,0.5070422535211268,0.5581395348837209,71.0
