split,metric,k,value
train,cosine_mean,,0.005308950722810654
train,cosine_std,,0.04982244293253018
train,cosine_min,,-0.1035530054059308
train,cosine_max,,0.11822439699828545
train,l2_distance_mean,,604.326053186687
train,l2_distance_std,,21.094256588583672
train,l2_distance_min,,541.3003033063721
train,l2_distance_max,,659.5026618126473
train,absolute_delta_mean,,24.620086468634593
train,absolute_delta_std,,18.603165449139514
train,absolute_delta_min,,0.0015483710449188948
train,absolute_delta_max,,134.06426021270454
train,original_norm_mean,,0.43547167974391526
train,original_norm_std,,0.05032881173774303
train,original_norm_min,,0.3358296564388482
train,original_norm_max,,0.608395872683312
train,private_norm_mean,,604.3286894601076
train,private_norm_std,,21.093428251086117
train,private_norm_min,,541.2780705470177
train,private_norm_max,,659.5252091517901
train,relative_l2_distance_mean,,1405.699248767711
train,relative_l2_distance_std,,165.49000783236414
train,relative_l2_distance_min,,991.53916906747
train,relative_l2_distance_max,,1937.1815094186327
train,private_to_original_norm_ratio_mean,,1405.7041979501507
train,private_to_original_norm_ratio_std,,165.481096483584
train,private_to_original_norm_ratio_min,,991.6061060218734
train,private_to_original_norm_ratio_max,,1937.175770736315
train,neighbor_overlap,5,0.048684210526315795
train,neighbor_overlap,10,0.07828947368421053
train,neighbor_overlap,20,0.13815789473684212
test,cosine_mean,,0.0019743556490608564
test,cosine_std,,0.05410959100151833
test,cosine_min,,-0.14484222260271581
test,cosine_max,,0.12261199357626117
test,l2_distance_mean,,602.5742723194144
test,l2_distance_std,,20.889001881413655
test,l2_distance_min,,549.5467017293308
test,l2_distance_max,,664.0870099432675
test,absolute_delta_mean,,24.590263337975284
test,absolute_delta_std,,18.493705324449007
test,absolute_delta_min,,0.0009030915098264813
test,absolute_delta_max,,140.35638711228967
test,original_norm_mean,,0.44208744484978685
test,original_norm_std,,0.07041193634569161
test,original_norm_min,,0.33330873483128737
test,original_norm_max,,0.8765038329515334
test,private_norm_mean,,602.5748868296906
test,private_norm_std,,20.890987898577663
test,private_norm_min,,549.5389313736885
test,private_norm_max,,664.1180332470576
test,relative_l2_distance_mean,,1390.5792069277234
test,relative_l2_distance_std,,186.87107834647566
test,relative_l2_distance_min,,671.9293710367346
test,relative_l2_distance_max,,1906.7766566978514
test,private_to_original_norm_ratio_mean,,1390.5808151104814
test,private_to_original_norm_ratio_std,,186.8748693048918
test,private_to_original_norm_ratio_min,,671.9504077018252
test,private_to_original_norm_ratio_max,,1906.7589328751528
test,neighbor_overlap,5,0.04507042253521127
test,neighbor_overlap,10,0.06971830985915492
test,neighbor_overlap,20,0.13873239436619716
