epsilon,delta,sensitivity,dp_seed,split,metric,k,value
1.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_mean,,169.74757183841294
1.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_std,,20.41585428741089
1.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_min,,124.61936907320366
1.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_max,,214.73404972577924
1.0,1e-05,1.0,2026,train,neighbor_overlap,5,0.04078947368421053
1.0,1e-05,1.0,2026,train,neighbor_overlap,10,0.07763157894736841
1.0,1e-05,1.0,2026,train,neighbor_overlap,20,0.13223684210526315
1.0,1e-05,1.0,2026,test,cosine_mean,,0.015298934603295193
1.0,1e-05,1.0,2026,test,cosine_std,,0.055332944548418195
1.0,1e-05,1.0,2026,test,cosine_min,,-0.11335006244989841
1.0,1e-05,1.0,2026,test,cosine_max,,0.195376546043947
1.0,1e-05,1.0,2026,test,l2_distance_mean,,72.9600594195985
1.0,1e-05,1.0,2026,test,l2_distance_std,,2.5195224741068
1.0,1e-05,1.0,2026,test,l2_distance_min,,66.95293587305713
1.0,1e-05,1.0,2026,test,l2_distance_max,,78.4970344738342
1.0,1e-05,1.0,2026,test,absolute_delta_mean,,2.9680213634159704
1.0,1e-05,1.0,2026,test,absolute_delta_std,,2.251622303768886
1.0,1e-05,1.0,2026,test,absolute_delta_min,,6.322655826807022e-05
1.0,1e-05,1.0,2026,test,absolute_delta_max,,15.604601161263417
1.0,1e-05,1.0,2026,test,original_norm_mean,,0.44208744484978685
1.0,1e-05,1.0,2026,test,original_norm_std,,0.07041193634569161
1.0,1e-05,1.0,2026,test,original_norm_min,,0.33330873483128737
1.0,1e-05,1.0,2026,test,original_norm_max,,0.8765038329515334
1.0,1e-05,1.0,2026,test,private_norm_mean,,72.96570246623008
1.0,1e-05,1.0,2026,test,private_norm_std,,2.52069909214188
1.0,1e-05,1.0,2026,test,private_norm_min,,66.97479625045719
1.0,1e-05,1.0,2026,test,private_norm_max,,78.48953660853464
1.0,1e-05,1.0,2026,test,relative_l2_distance_mean,,168.36294962655452
1.0,1e-05,1.0,2026,test,relative_l2_distance_std,,22.46384510283081
1.0,1e-05,1.0,2026,test,relative_l2_distance_min,,78.96988458614821
1.0,1e-05,1.0,2026,test,relative_l2_distance_max,,232.39346502591977
1.0,1e-05,1.0,2026,test,private_to_original_norm_ratio_mean,,168.37522556307732
1.0,1e-05,1.0,2026,test,private_to_original_norm_ratio_std,,22.462784172897802
1.0,1e-05,1.0,2026,test,private_to_original_norm_ratio_min,,79.04101504624028
1.0,1e-05,1.0,2026,test,private_to_original_norm_ratio_max,,232.48117630468653
1.0,1e-05,1.0,2026,test,neighbor_overlap,5,0.04507042253521127
1.0,1e-05,1.0,2026,test,neighbor_overlap,10,0.06338028169014084
1.0,1e-05,1.0,2026,test,neighbor_overlap,20,0.14014084507042254
10.0,1e-05,1.0,2026,train,cosine_mean,,0.04956237509175916
10.0,1e-05,1.0,2026,train,cosine_std,,0.04790863739216226
10.0,1e-05,1.0,2026,train,cosine_min,,-0.10732340158032112
10.0,1e-05,1.0,2026,train,cosine_max,,0.15246431030425858
10.0,1e-05,1.0,2026,train,l2_distance_mean,,9.775876730951381
10.0,1e-05,1.0,2026,train,l2_distance_std,,0.3784568535466031
10.0,1e-05,1.0,2026,train,l2_distance_min,,9.02543599400701
10.0,1e-05,1.0,2026,train,l2_distance_max,,10.914008655560545
10.0,1e-05,1.0,2026,train,absolute_delta_mean,,0.3976204515845878
10.0,1e-05,1.0,2026,train,absolute_delta_std,,0.3019028990632522
10.0,1e-05,1.0,2026,train,absolute_delta_min,,7.3071569204330444e-06
10.0,1e-05,1.0,2026,train,absolute_delta_max,,2.0840733693912625
10.0,1e-05,1.0,2026,train,original_norm_mean,,0.43547167974391526
10.0,1e-05,1.0,2026,train,original_norm_std,,0.05032881173774303
10.0,1e-05,1.0,2026,train,original_norm_min,,0.3358296564388482
10.0,1e-05,1.0,2026,train,original_norm_max,,0.608395872683312
10.0,1e-05,1.0,2026,train,private_norm_mean,,9.788017974579194
10.0,1e-05,1.0,2026,train,private_norm_std,,0.37665432578980046
10.0,1e-05,1.0,2026,train,private_norm_min,,9.021634691175635
10.0,1e-05,1.0,2026,train,private_norm_max,,10.93064413019031
10.0,1e-05,1.0,2026,train,relative_l2_distance_mean,,22.744361624169944
10.0,1e-05,1.0,2026,train,relative_l2_distance_std,,2.73611660859974
10.0,1e-05,1.0,2026,train,relative_l2_distance_min,,16.688071031607954
10.0,1e-05,1.0,2026,train,relative_l2_distance_max,,28.76584771706989
10.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_mean,,22.771711300925595
10.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_std,,2.7305563354292754
10.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_min,,16.791257282064
10.0,1e-05,1.0,2026,train,private_to_original_norm_ratio_max,,28.837484243232236
10.0,1e-05,1.0,2026,train,neighbor_overlap,5,0.039473684210526314
10.0,1e-05,1.0,2026,train,neighbor_overlap,10,0.0769736842105263
10.0,1e-05,1.0,2026,train,neighbor_overlap,20,0.13421052631578947
10.0,1e-05,1.0,2026,test,cosine_mean,,0.05429897026706789
10.0,1e-05,1.0,2026,test,cosine_std,,0.05579720412645356
10.0,1e-05,1.0,2026,test,cosine_min,,-0.08105086838610884
10.0,1e-05,1.0,2026,test,cosine_max,,0.2337050013222801
10.0,1e-05,1.0,2026,test,l2_distance_mean,,9.776334674719616
10.0,1e-05,1.0,2026,test,l2_distance_std,,0.3376051919702706
10.0,1e-05,1.0,2026,test,l2_distance_min,,8.971405942099945
10.0,1e-05,1.0,2026,test,l2_distance_max,,10.518265567898146
10.0,1e-05,1.0,2026,test,absolute_delta_mean,,0.3977021180738726
10.0,1e-05,1.0,2026,test,absolute_delta_std,,0.30170772041000066
10.0,1e-05,1.0,2026,test,absolute_delta_min,,8.472241461277008e-06
10.0,1e-05,1.0,2026,test,absolute_delta_max,,2.090949551842641
10.0,1e-05,1.0,2026,test,original_norm_mean,,0.44208744484978685
10.0,1e-05,1.0,2026,test,original_norm_std,,0.07041193634569161
10.0,1e-05,1.0,2026,test,original_norm_min,,0.33330873483128737
10.0,1e-05,1.0,2026,test,original_norm_max,,0.8765038329515334
10.0,1e-05,1.0,2026,test,private_norm_mean,,9.790825054260283
10.0,1e-05,1.0,2026,test,private_norm_std,,0.3392989254600963
10.0,1e-05,1.0,2026,test,private_norm_min,,9.001405409879837
10.0,1e-05,1.0,2026,test,private_norm_max,,10.541198164598178
10.0,1e-05,1.0,2026,test,relative_l2_distance_mean,,22.559912306820557
10.0,1e-05,1.0,2026,test,relative_l2_distance_std,,3.0100587878644336
10.0,1e-05,1.0,2026,test,relative_l2_distance_min,,10.581625439630153
10.0,1e-05,1.0,2026,test,relative_l2_distance_max,,31.13972630610328
10.0,1e-05,1.0,2026,test,private_to_original_norm_ratio_mean,,22.59170584467916
10.0,1e-05,1.0,2026,test,private_to_original_norm_ratio_std,,3.0064015103520965
10.0,1e-05,1.0,2026,test,private_to_original_norm_ratio_min,,10.693120730968717
10.0,1e-05,1.0,2026,test,private_to_original_norm_ratio_max,,31.24119396392186
