split,metric,k,value
train,cosine_mean,,0.5222435378195578
train,cosine_std,,0.05787364878998907
train,cosine_min,,0.3971487026595846
train,cosine_max,,0.6792907767111658
train,l2_distance_mean,,0.7110579032422355
train,l2_distance_std,,0.024819776956576545
train,l2_distance_min,,0.6369009848379575
train,l2_distance_max,,0.7759794179957176
train,absolute_delta_mean,,0.028968314319750135
train,absolute_delta_std,,0.021888726707053156
train,absolute_delta_min,,1.821666955947876e-06
train,absolute_delta_max,,0.15774176828563213
train,original_norm_mean,,0.43547167974391526
train,original_norm_std,,0.05032881173774303
train,original_norm_min,,0.3358296564388482
train,original_norm_max,,0.608395872683312
train,private_norm_mean,,0.8367392850866456
train,private_norm_std,,0.04167942073139806
train,private_norm_min,,0.7421460876744779
train,private_norm_max,,0.9719598517103081
train,relative_l2_distance_mean,,1.653964040001878
train,relative_l2_distance_std,,0.1947176977991219
train,relative_l2_distance_min,,1.1666578946465413
train,relative_l2_distance_max,,2.279312975207739
train,private_to_original_norm_ratio_mean,,1.938568979754741
train,private_to_original_norm_ratio_std,,0.16488479018303095
train,private_to_original_norm_ratio_min,,1.5862233003676718
train,private_to_original_norm_ratio_max,,2.4835318723996367
train,neighbor_overlap,5,0.21052631578947367
train,neighbor_overlap,10,0.2625
train,neighbor_overlap,20,0.34868421052631576
test,cosine_mean,,0.5259469038225765
test,cosine_std,,0.06180008520700621
test,cosine_min,,0.384359025357965
test,cosine_max,,0.7892837180403846
test,l2_distance_mean,,0.7089967347327942
test,l2_distance_std,,0.024578271732339077
test,l2_distance_min,,0.6466038061762662
test,l2_distance_max,,0.781373421439785
test,absolute_delta_mean,,0.028933224021398914
test,absolute_delta_std,,0.021759934490658158
test,absolute_delta_min,,1.062639057636261e-06
test,absolute_delta_max,,0.1651451624929905
test,original_norm_mean,,0.44208744484978685
test,original_norm_std,,0.07041193634569161
test,original_norm_min,,0.33330873483128737
test,original_norm_max,,0.8765038329515334
test,private_norm_mean,,0.8377038556747757
test,private_norm_std,,0.051624328066747
test,private_norm_min,,0.7486110689777914
test,private_norm_max,,1.1283218585056471
test,relative_l2_distance_mean,,1.636173601046569
test,relative_l2_distance_std,,0.21987494323249399
test,relative_l2_distance_min,,0.7906008448201159
test,relative_l2_distance_max,,2.2435382343713215
test,private_to_original_norm_ratio_mean,,1.921907599890211
test,private_to_original_norm_ratio_std,,0.19347670035250578
test,private_to_original_norm_ratio_min,,1.2872982593882598
test,private_to_original_norm_ratio_max,,2.439827742326897
test,neighbor_overlap,5,0.20985915492957744
test,neighbor_overlap,10,0.26478873239436623
test,neighbor_overlap,20,0.36408450704225354
