split,metric,k,value
train,cosine_mean,,0.04878497414344689
train,cosine_std,,0.050913558214284525
train,cosine_min,,-0.06505452870517005
train,cosine_max,,0.16566848217438013
train,l2_distance_mean,,9.824389571666154
train,l2_distance_std,,0.3429244761595955
train,l2_distance_min,,8.799794422338788
train,l2_distance_max,,10.721383005965807
train,absolute_delta_mean,,0.40024307978700147
train,absolute_delta_std,,0.30242737959205684
train,absolute_delta_min,,2.5171320885419846e-05
train,absolute_delta_max,,2.17945191077888
train,original_norm_mean,,0.43547167974391526
train,original_norm_std,,0.05032881173774303
train,original_norm_min,,0.3358296564388482
train,original_norm_max,,0.608395872683312
train,private_norm_mean,,9.836621794469025
train,private_norm_std,,0.34260096773858306
train,private_norm_min,,8.787260161060477
train,private_norm_max,,10.757995364799653
train,relative_l2_distance_mean,,22.852129190333944
train,relative_l2_distance_std,,2.6903329734068695
train,relative_l2_distance_min,,16.119224082360503
train,relative_l2_distance_max,,31.492314024163257
train,private_to_original_norm_ratio_mean,,22.878831039323174
train,private_to_original_norm_ratio_std,,2.679325467779495
train,private_to_original_norm_ratio_min,,16.21638506460416
train,private_to_original_norm_ratio_max,,31.50219258449506
train,neighbor_overlap,5,0.048684210526315795
train,neighbor_overlap,10,0.07763157894736843
train,neighbor_overlap,20,0.13782894736842105
test,cosine_mean,,0.04623926458682769
test,cosine_std,,0.05413093431490661
test,cosine_min,,-0.10062563370262671
test,cosine_max,,0.16680832484969005
test,l2_distance_mean,,9.795911265560973
test,l2_distance_std,,0.33958769433450314
test,l2_distance_min,,8.933854274305162
test,l2_distance_max,,10.795909649377373
test,absolute_delta_mean,,0.3997582518105955
test,absolute_delta_std,,0.30064791114563194
test,absolute_delta_min,,1.4681369066238403e-05
test,absolute_delta_max,,2.2817415930330753
test,original_norm_mean,,0.44208744484978685
test,original_norm_std,,0.07041193634569161
test,original_norm_min,,0.33330873483128737
test,original_norm_max,,0.8765038329515334
test,private_norm_mean,,9.806563412966158
test,private_norm_std,,0.34211249636962593
test,private_norm_min,,8.937189160809737
test,private_norm_max,,10.834251929364546
test,relative_l2_distance_mean,,22.606326131483463
test,relative_l2_distance_std,,3.0379201086326897
test,relative_l2_distance_min,,10.92340111845774
test,relative_l2_distance_max,,30.998029288898334
test,private_to_original_norm_ratio_mean,,22.63007944857374
test,private_to_original_norm_ratio_std,,3.038738369107088
test,private_to_original_norm_ratio_min,,10.989268684948565
test,private_to_original_norm_ratio_max,,30.996173328211153
test,neighbor_overlap,5,0.04507042253521127
test,neighbor_overlap,10,0.06901408450704223
test,neighbor_overlap,20,0.1426056338028169
