task,classifier,train_fraction,seed,n_train,class_label,precision,recall,f1,support
gender,logistic_regression,0.1,13,1400,female,0.5858877964141121,0.5831894070236039,0.584535487593768,1737.0
gender,logistic_regression,0.1,13,1400,male,0.5909604519774011,0.5936435868331441,0.5922989807474519,1762.0
gender,random_forest,0.1,13,1400,female,0.5990990990990991,0.5359815774323546,0.5657854755393498,1737.0
gender,random_forest,0.1,13,1400,male,0.5856041131105398,0.6464245175936436,0.6145130833558133,1762.0
gender,hist_gradient_boosting,0.1,13,1400,female,0.5433391506689936,0.5377086931491076,0.5405092592592593,1737.0
gender,hist_gradient_boosting,0.1,13,1400,male,0.548876404494382,0.554483541430193,0.551665725578769,1762.0
gender,xgboost,0.1,13,1400,female,0.5881656804733728,0.5722510074841681,0.580099212138897,1737.0
gender,xgboost,0.1,13,1400,male,0.5892758430071863,0.604994324631101,0.5970316437972557,1762.0
gender,mlp,0.1,13,1400,female,0.5672853828306265,0.5630397236614854,0.5651545796012714,1737.0
gender,mlp,0.1,13,1400,male,0.5723943661971831,0.5766174801362088,0.5744981622844219,1762.0
gender,logistic_regression,0.1,21,1400,female,0.5712682379349046,0.5860679332181923,0.5785734583688548,1737.0
gender,logistic_regression,0.1,21,1400,male,0.5812463599301106,0.5664018161180476,0.5737280827824087,1762.0
gender,random_forest,0.1,21,1400,female,0.5890251021599533,0.5808865860679332,0.5849275362318841,1737.0
gender,random_forest,0.1,21,1400,male,0.5923852183650616,0.6004540295119183,0.5963923337091319,1762.0
gender,hist_gradient_boosting,0.1,21,1400,female,0.5667028199566161,0.6016119746689695,0.5836358559061715,1737.0
gender,hist_gradient_boosting,0.1,21,1400,male,0.5818731117824774,0.5465380249716232,0.5636523266022827,1762.0
gender,xgboost,0.1,21,1400,female,0.5900621118012422,0.6016119746689695,0.5957810718358039,1737.0
gender,xgboost,0.1,21,1400,male,0.5995370370370371,0.5879682179341658,0.5936962750716333,1762.0
gender,mlp,0.1,21,1400,female,0.5756756756756757,0.613126079447323,0.5938109841092836,1737.0
gender,mlp,0.1,21,1400,male,0.5924802910855064,0.554483541430193,0.5728525359132219,1762.0
gender,logistic_regression,0.1,34,1400,female,0.5826235093696763,0.5906735751295337,0.5866209262435678,1737.0
gender,logistic_regression,0.1,34,1400,male,0.5909090909090909,0.5828603859250852,0.5868571428571429,1762.0
gender,random_forest,0.1,34,1400,female,0.5927770859277709,0.5480713874496258,0.5695483099012862,1737.0
gender,random_forest,0.1,34,1400,male,0.5853143159006867,0.6288308740068105,0.6062927496580027,1762.0
gender,hist_gradient_boosting,0.1,34,1400,female,0.5528455284552846,0.5480713874496258,0.5504481063891298,1737.0
gender,hist_gradient_boosting,0.1,34,1400,male,0.558244231851435,0.5629965947786606,0.5606103419044928,1762.0
gender,xgboost,0.1,34,1400,female,0.5870588235294117,0.5745538284398388,0.5807390165842304,1737.0
gender,xgboost,0.1,34,1400,male,0.5892162312395776,0.601589103291714,0.5953383880932323,1762.0
gender,mlp,0.1,34,1400,female,0.5655095184770437,0.5814622913068509,0.5733749645188759,1737.0
gender,mlp,0.1,34,1400,male,0.5755983654407473,0.5595913734392736,0.5674820143884892,1762.0
gender,logistic_regression,0.1,55,1400,female,0.570426651081239,0.56188831318365,0.5661252900232019,1737.0
gender,logistic_regression,0.1,55,1400,male,0.5743847874720358,0.5828603859250852,0.5785915492957746,1762.0
gender,random_forest,0.1,55,1400,female,0.5856453558504222,0.5590097869890616,0.5720176730486008,1737.0
gender,random_forest,0.1,55,1400,male,0.5839217816404129,0.6101021566401816,0.5967249514293644,1762.0
gender,hist_gradient_boosting,0.1,55,1400,female,0.5562953995157385,0.5290731145653426,0.5423428740041311,1737.0
gender,hist_gradient_boosting,0.1,55,1400,male,0.5571196534921494,0.5839954597048809,0.5702410640066501,1762.0
gender,xgboost,0.1,55,1400,female,0.5755053507728894,0.5572826712723086,0.5662474407721556,1737.0
gender,xgboost,0.1,55,1400,male,0.5767749036873968,0.5947786606129398,0.5856384464934339,1762.0
gender,mlp,0.1,55,1400,female,0.5633351149118119,0.6067933218192285,0.5842572062084257,1737.0
gender,mlp,0.1,55,1400,male,0.5804668304668305,0.536322360953462,0.5575221238938053,1762.0
gender,logistic_regression,0.1,89,1400,female,0.5890068707058088,0.5428900402993667,0.5650089874176153,1737.0
gender,logistic_regression,0.1,89,1400,male,0.5816649104320337,0.626560726447219,0.6032786885245902,1762.0
gender,random_forest,0.1,89,1400,female,0.5991077119184194,0.5411629245826137,0.5686630369026013,1737.0
gender,random_forest,0.1,89,1400,male,0.5870466321243524,0.6430192962542566,0.613759479956663,1762.0
gender,hist_gradient_boosting,0.1,89,1400,female,0.5577949021932425,0.5417386298215314,0.5496495327102804,1737.0
gender,hist_gradient_boosting,0.1,89,1400,male,0.5607064017660044,0.5766174801362088,0.5685506435366536,1762.0
gender,xgboost,0.1,89,1400,female,0.5872825434913017,0.563615428900403,0.5752056404230317,1737.0
gender,xgboost,0.1,89,1400,male,0.5862445414847162,0.6095346197502838,0.5976627712854758,1762.0
gender,mlp,0.1,89,1400,female,0.5921686746987952,0.5659182498560736,0.5787459523108626,1737.0
gender,mlp,0.1,89,1400,male,0.589994562262099,0.6157775255391601,0.6026103860038878,1762.0
gender,logistic_regression,0.25,13,3499,female,0.6,0.6096718480138169,0.604797258709309,1737.0
gender,logistic_regression,0.25,13,3499,male,0.6089965397923875,0.5993189557321226,0.6041189931350115,1762.0
gender,random_forest,0.25,13,3499,female,0.5985533453887885,0.5716753022452504,0.5848056537102474,1737.0
