task,classifier,train_fraction,seed,n_train,class_label,precision,recall,f1,support
age,random_forest,0.1,13,16,18-24,0.3780487804878049,0.5535714285714286,0.4492753623188406,56.0
age,random_forest,0.1,13,16,25-34,0.43333333333333335,0.4482758620689655,0.4406779661016949,58.0
age,random_forest,0.1,13,16,35-49,0.0,0.0,0.0,20.0
age,random_forest,0.1,13,16,50-XX,0.0,0.0,0.0,8.0
age,hist_gradient_boosting,0.1,13,16,18-24,0.39436619718309857,1.0,0.5656565656565656,56.0
age,hist_gradient_boosting,0.1,13,16,25-34,0.0,0.0,0.0,58.0
age,hist_gradient_boosting,0.1,13,16,35-49,0.0,0.0,0.0,20.0
age,hist_gradient_boosting,0.1,13,16,50-XX,0.0,0.0,0.0,8.0
age,xgboost,0.1,13,16,18-24,0.3246753246753247,0.44642857142857145,0.37593984962406013,56.0
age,xgboost,0.1,13,16,25-34,0.4126984126984127,0.4482758620689655,0.4297520661157025,58.0
age,xgboost,0.1,13,16,35-49,0.0,0.0,0.0,20.0
age,xgboost,0.1,13,16,50-XX,0.0,0.0,0.0,8.0
age,mlp,0.1,13,16,18-24,0.37037037037037035,0.17857142857142858,0.24096385542168675,56.0
age,mlp,0.1,13,16,25-34,0.43636363636363634,0.41379310344827586,0.4247787610619469,58.0
age,mlp,0.1,13,16,35-49,0.14,0.35,0.2,20.0
age,mlp,0.1,13,16,50-XX,0.0,0.0,0.0,8.0
age,logistic_regression,0.1,21,16,18-24,0.40217391304347827,0.6607142857142857,0.5,56.0
age,logistic_regression,0.1,21,16,25-34,0.5,0.43103448275862066,0.46296296296296297,58.0
age,logistic_regression,0.1,21,16,35-49,0.0,0.0,0.0,20.0
age,logistic_regression,0.1,21,16,50-XX,0.0,0.0,0.0,8.0
age,random_forest,0.1,21,16,18-24,0.4358974358974359,0.6071428571428571,0.5074626865671642,56.0
age,random_forest,0.1,21,16,25-34,0.484375,0.5344827586206896,0.5081967213114754,58.0
age,random_forest,0.1,21,16,35-49,0.0,0.0,0.0,20.0
age,random_forest,0.1,21,16,50-XX,0.0,0.0,0.0,8.0
age,hist_gradient_boosting,0.1,21,16,18-24,0.39436619718309857,1.0,0.5656565656565656,56.0
age,hist_gradient_boosting,0.1,21,16,25-34,0.0,0.0,0.0,58.0
age,hist_gradient_boosting,0.1,21,16,35-49,0.0,0.0,0.0,20.0
age,hist_gradient_boosting,0.1,21,16,50-XX,0.0,0.0,0.0,8.0
age,xgboost,0.1,21,16,18-24,0.3972602739726027,0.5178571428571429,0.4496124031007752,56.0
age,xgboost,0.1,21,16,25-34,0.5,0.5689655172413793,0.532258064516129,58.0
age,xgboost,0.1,21,16,35-49,0.0,0.0,0.0,20.0
age,xgboost,0.1,21,16,50-XX,0.0,0.0,0.0,8.0
age,mlp,0.1,21,16,18-24,0.5714285714285714,0.07142857142857142,0.12698412698412698,56.0
age,mlp,0.1,21,16,25-34,0.4444444444444444,0.13793103448275862,0.21052631578947367,58.0
age,mlp,0.1,21,16,35-49,0.22916666666666666,0.55,0.3235294117647059,20.0
age,mlp,0.1,21,16,50-XX,0.057971014492753624,0.5,0.1038961038961039,8.0
age,logistic_regression,0.1,34,16,18-24,0.4411764705882353,0.5357142857142857,0.4838709677419355,56.0
age,logistic_regression,0.1,34,16,25-34,0.47297297297297297,0.603448275862069,0.5303030303030303,58.0
age,logistic_regression,0.1,34,16,35-49,0.0,0.0,0.0,20.0
age,logistic_regression,0.1,34,16,50-XX,0.0,0.0,0.0,8.0
age,random_forest,0.1,34,16,18-24,0.5,0.42857142857142855,0.46153846153846156,56.0
age,random_forest,0.1,34,16,25-34,0.5,0.8103448275862069,0.618421052631579,58.0
age,random_forest,0.1,34,16,35-49,0.0,0.0,0.0,20.0
age,random_forest,0.1,34,16,50-XX,0.0,0.0,0.0,8.0
age,hist_gradient_boosting,0.1,34,16,18-24,0.0,0.0,0.0,56.0
age,hist_gradient_boosting,0.1,34,16,25-34,0.4084507042253521,1.0,0.58,58.0
age,hist_gradient_boosting,0.1,34,16,35-49,0.0,0.0,0.0,20.0
age,hist_gradient_boosting,0.1,34,16,50-XX,0.0,0.0,0.0,8.0
age,xgboost,0.1,34,16,18-24,0.49056603773584906,0.4642857142857143,0.47706422018348627,56.0
age,xgboost,0.1,34,16,25-34,0.4827586206896552,0.7241379310344828,0.5793103448275863,58.0
age,xgboost,0.1,34,16,35-49,0.0,0.0,0.0,20.0
age,xgboost,0.1,34,16,50-XX,0.0,0.0,0.0,8.0
age,mlp,0.1,34,16,18-24,0.25,0.05357142857142857,0.08823529411764706,56.0
age,mlp,0.1,34,16,25-34,0.4411764705882353,0.5172413793103449,0.47619047619047616,58.0
age,mlp,0.1,34,16,35-49,0.1,0.2,0.13333333333333333,20.0
age,mlp,0.1,34,16,50-XX,0.0,0.0,0.0,8.0
age,logistic_regression,0.1,55,16,18-24,0.41904761904761906,0.7857142857142857,0.546583850931677,56.0
age,logistic_regression,0.1,55,16,25-34,0.5135135135135135,0.3275862068965517,0.4,58.0
age,logistic_regression,0.1,55,16,35-49,0.0,0.0,0.0,20.0
age,logistic_regression,0.1,55,16,50-XX,0.0,0.0,0.0,8.0
