task,classifier,train_fraction,seed,n_train,metric,value
gender,hist_gradient_boosting,0.1,21,1400,f1_macro,0.5083619519599417
gender,hist_gradient_boosting,0.1,21,1400,precision_micro,0.5087167762217777
gender,hist_gradient_boosting,0.1,21,1400,recall_micro,0.5087167762217777
gender,hist_gradient_boosting,0.1,21,1400,f1_micro,0.5087167762217777
gender,hist_gradient_boosting,0.1,21,1400,precision_weighted,0.508591623080855
gender,hist_gradient_boosting,0.1,21,1400,recall_weighted,0.5087167762217777
gender,hist_gradient_boosting,0.1,21,1400,f1_weighted,0.5084563201146853
gender,xgboost,0.1,21,1400,accuracy,0.5055730208631037
gender,xgboost,0.1,21,1400,balanced_accuracy,0.5055682001598383
gender,xgboost,0.1,21,1400,precision_macro,0.5055679272751985
gender,xgboost,0.1,21,1400,recall_macro,0.5055682001598383
gender,xgboost,0.1,21,1400,f1_macro,0.5055639341927027
gender,xgboost,0.1,21,1400,precision_micro,0.5055730208631037
gender,xgboost,0.1,21,1400,recall_micro,0.5055730208631037
gender,xgboost,0.1,21,1400,f1_micro,0.5055730208631037
gender,xgboost,0.1,21,1400,precision_weighted,0.5055933952147249
gender,xgboost,0.1,21,1400,recall_weighted,0.5055730208631037
gender,xgboost,0.1,21,1400,f1_weighted,0.5055790786433711
gender,mlp,0.1,21,1400,accuracy,0.5030008573878251
gender,mlp,0.1,21,1400,balanced_accuracy,0.5032144087062838
gender,mlp,0.1,21,1400,precision_macro,0.5032257535665923
gender,mlp,0.1,21,1400,recall_macro,0.5032144087062838
gender,mlp,0.1,21,1400,f1_macro,0.5026570273971136
gender,mlp,0.1,21,1400,precision_micro,0.5030008573878251
gender,mlp,0.1,21,1400,recall_micro,0.5030008573878251
gender,mlp,0.1,21,1400,f1_micro,0.5030008573878251
gender,mlp,0.1,21,1400,precision_weighted,0.5032526550233826
gender,mlp,0.1,21,1400,recall_weighted,0.5030008573878251
gender,mlp,0.1,21,1400,f1_weighted,0.5025635953344202
gender,logistic_regression,0.1,34,1400,accuracy,0.527579308373821
gender,logistic_regression,0.1,34,1400,balanced_accuracy,0.5276920101130695
gender,logistic_regression,0.1,34,1400,precision_macro,0.5277174943913558
gender,logistic_regression,0.1,34,1400,recall_macro,0.5276920101130695
gender,logistic_regression,0.1,34,1400,f1_macro,0.5275112310953541
gender,logistic_regression,0.1,34,1400,precision_micro,0.527579308373821
gender,logistic_regression,0.1,34,1400,recall_micro,0.527579308373821
gender,logistic_regression,0.1,34,1400,f1_micro,0.527579308373821
gender,logistic_regression,0.1,34,1400,precision_weighted,0.5277491884320749
gender,logistic_regression,0.1,34,1400,recall_weighted,0.527579308373821
gender,logistic_regression,0.1,34,1400,f1_weighted,0.5274707089057905
gender,random_forest,0.1,34,1400,accuracy,0.5078593883966848
gender,random_forest,0.1,34,1400,balanced_accuracy,0.5076586440409934
gender,random_forest,0.1,34,1400,precision_macro,0.507682606107803
gender,random_forest,0.1,34,1400,recall_macro,0.5076586440409934
gender,random_forest,0.1,34,1400,f1_macro,0.5073636134703876
